experiment_id,experiment_type,evaluation_type,is_primary,model,feature_set,status,feature_count,threshold,threshold_source,validation_f1_at_threshold,model_path,prediction_paths,notes,primary_full_grid_metrics,sample_weight
ablation_no_anthropogenic,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus roads/population/night lights,completed,247,0.5002497225079148,validation_f1_max,0.4865342287143469,results/full_grid_improvements_bounded/models/ablation_no_anthropogenic.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_anthropogenic_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_anthropogenic_test_predictions.parquet')}",Dropped 21 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_ecoregion,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus ecoregion categorical variables,completed_no_op,268,0.4920829446562272,validation_f1_max,0.509106199573785,results/full_grid_improvements_bounded/models/catboost_full.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_test_predictions.parquet')}",No columns matched this ablation pattern for `full minus ecoregion categorical variables`.,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9093786403803264e-05, 'PR-AUC': 0.0001945614138752741, 'average_precision': 0.0001945614138752741, 'ROC-AUC': 0.7435688835844695, 'roc_auc': 0.7435688835844695, 'weighted_brier_score': 9.95082543755694e-05, 'Brier': 9.95082543755694e-05, 'weighted_logloss': 0.0010625584520153482, 'reliability_ece': 8.376724029142074e-05, 'reliability_mce': 0.00033159034250084397, 'reliability_rmse': 0.0001267247764992453, 'daily_expected_observed_count_mae': 9.887186291132465, 'max_f1': 0.002033898305084746, 'precision_at_max_f1': 0.0011569610489780178, 'recall_at_max_f1': 0.008403361344537815, 'threshold_at_max_f1': 0.00010221713109309058, 'predicted_positive_grid_cells_at_max_f1': 2593.0, 'calibration_intercept': -0.07281444280394134, 'calibration_slope': 0.8387473736656303, 'expected_fire_positive_grid_cells': 68.4978894716056, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19187083885603812, 'observed_prevalence_error': 0.0, 'average_precision_error': 0.00017317502526348528, 'roc_auc_error': 0.13349743236172668, 'max_f1_error': 0.00034743885925663854, 'weighted_brier_score_error': 2.1245961151556465e-09, 'weighted_logloss_error': 3.880866945654718e-05, 'expected_observed_count_ratio_error': 0.00017965211409397147, 'mean_calibrated_predicted_probability_error': 1.7965211409398287e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_geography,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus direct geography/location variables,completed_no_op,268,0.4920829446562272,validation_f1_max,0.509106199573785,results/full_grid_improvements_bounded/models/catboost_full.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_test_predictions.parquet')}",No columns matched this ablation pattern for `full minus direct geography/location variables`.,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9093786403803264e-05, 'PR-AUC': 0.0001945614138752741, 'average_precision': 0.0001945614138752741, 'ROC-AUC': 0.7435688835844695, 'roc_auc': 0.7435688835844695, 'weighted_brier_score': 9.95082543755694e-05, 'Brier': 9.95082543755694e-05, 'weighted_logloss': 0.0010625584520153482, 'reliability_ece': 8.376724029142074e-05, 'reliability_mce': 0.00033159034250084397, 'reliability_rmse': 0.0001267247764992453, 'daily_expected_observed_count_mae': 9.887186291132465, 'max_f1': 0.002033898305084746, 'precision_at_max_f1': 0.0011569610489780178, 'recall_at_max_f1': 0.008403361344537815, 'threshold_at_max_f1': 0.00010221713109309058, 'predicted_positive_grid_cells_at_max_f1': 2593.0, 'calibration_intercept': -0.07281444280394134, 'calibration_slope': 0.8387473736656303, 'expected_fire_positive_grid_cells': 68.4978894716056, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19187083885603812, 'observed_prevalence_error': 0.0, 'average_precision_error': 0.00017317502526348528, 'roc_auc_error': 0.13349743236172668, 'max_f1_error': 0.00034743885925663854, 'weighted_brier_score_error': 2.1245961151556465e-09, 'weighted_logloss_error': 3.880866945654718e-05, 'expected_observed_count_ratio_error': 0.00017965211409397147, 'mean_calibrated_predicted_probability_error': 1.7965211409398287e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_fuel_ecoregion_vegetation,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus ecological/fuel variables,completed,262,0.49944669998178615,validation_f1_max,0.4902546964134155,results/full_grid_improvements_bounded/models/ablation_no_fuel_ecoregion_vegetation.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_fuel_ecoregion_vegetation_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_fuel_ecoregion_vegetation_test_predictions.parquet')}",Dropped 6 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_terrain,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus topography,completed,243,0.4970601812879405,validation_f1_max,0.5080494649350089,results/full_grid_improvements_bounded/models/ablation_no_terrain.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_terrain_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_terrain_test_predictions.parquet')}",Dropped 25 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_seasonality,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus month/day-of-year features,completed,261,0.48811979238586695,validation_f1_max,0.5078914100270302,results/full_grid_improvements_bounded/models/ablation_no_seasonality.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_seasonality_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_seasonality_test_predictions.parquet')}",Dropped 7 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_history,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus prior-fire/proximity features,completed,262,0.4426630744536391,validation_f1_max,0.46236067447802404,results/full_grid_improvements_bounded/models/ablation_no_history.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_history_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_history_test_predictions.parquet')}",Dropped 6 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_temporal_history,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus lagged meteorology,completed,106,0.5096086910245284,validation_f1_max,0.49396640429721034,results/full_grid_improvements_bounded/models/ablation_no_temporal_history.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_temporal_history_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_temporal_history_test_predictions.parquet')}",Dropped 162 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_shorter_sequence_30d,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus >30-day weather-history windows,completed,202,0.47445262206724037,validation_f1_max,0.4956761006284734,results/full_grid_improvements_bounded/models/ablation_shorter_sequence_30d.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_shorter_sequence_30d_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_shorter_sequence_30d_test_predictions.parquet')}",Dropped 66 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_periodic_seasonality,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus periodic seasonality encodings,completed_no_op,268,0.4920829446562272,validation_f1_max,0.509106199573785,results/full_grid_improvements_bounded/models/catboost_full.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/catboost_full_test_predictions.parquet')}",No columns matched this ablation pattern for `full minus periodic seasonality encodings`.,"{'Model': 'CatBoost', 'model': 'CatBoost', 'model_name': 'CatBoost', 'model_type': 'CatBoost', 'Feature set': 'all features', 'feature_set': 'all features', 'Region': 'Global', 'region': 'global', 'region_display': 'Global', 'split': 'test', 'evaluation_type': 'primary_full_grid_calibrated', 'is_primary': True, 'calibration_method': 'prior_offset_month', 'test_universe': 'land_or_burnable', 'test_period': '2022-05-01 to 2022-05-31', 'support': 3587444, 'weighted_support': 3587444.0, 'positives': 357.0, 'observed_prevalence': 9.951374850729378e-05, 'mean_calibrated_predicted_probability': 1.9093786403803264e-05, 'PR-AUC': 0.0001945614138752741, 'average_precision': 0.0001945614138752741, 'ROC-AUC': 0.7435688835844695, 'roc_auc': 0.7435688835844695, 'weighted_brier_score': 9.95082543755694e-05, 'Brier': 9.95082543755694e-05, 'weighted_logloss': 0.0010625584520153482, 'reliability_ece': 8.376724029142074e-05, 'reliability_mce': 0.00033159034250084397, 'reliability_rmse': 0.0001267247764992453, 'daily_expected_observed_count_mae': 9.887186291132465, 'max_f1': 0.002033898305084746, 'precision_at_max_f1': 0.0011569610489780178, 'recall_at_max_f1': 0.008403361344537815, 'threshold_at_max_f1': 0.00010221713109309058, 'predicted_positive_grid_cells_at_max_f1': 2593.0, 'calibration_intercept': -0.07281444280394134, 'calibration_slope': 0.8387473736656303, 'expected_fire_positive_grid_cells': 68.4978894716056, 'observed_fire_positive_grid_cells': 357.0, 'expected_observed_count_ratio': 0.19187083885603812, 'observed_prevalence_error': 0.0, 'average_precision_error': 0.00017317502526348528, 'roc_auc_error': 0.13349743236172668, 'max_f1_error': 0.00034743885925663854, 'weighted_brier_score_error': 2.1245961151556465e-09, 'weighted_logloss_error': 3.880866945654718e-05, 'expected_observed_count_ratio_error': 0.00017965211409397147, 'mean_calibrated_predicted_probability_error': 1.7965211409398287e-08}","{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_no_gaussian_smoothing,feature_ablation,legacy_sampled_case_control,False,CatBoost,full minus Gaussian road/light/population rasters,completed,259,0.4805431956270541,validation_f1_max,0.5035025600525195,results/full_grid_improvements_bounded/models/ablation_no_gaussian_smoothing.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_gaussian_smoothing_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_no_gaussian_smoothing_test_predictions.parquet')}",Dropped 9 features.,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_static_only,feature_ablation,legacy_sampled_case_control,False,CatBoost,static non-weather features,completed,66,0.44845285685006103,validation_f1_max,0.47371602699289195,results/full_grid_improvements_bounded/models/ablation_static_only.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_static_only_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_static_only_test_predictions.parquet')}",,,"{'sample_weight_column': None, 'used_sample_weight': False}"
ablation_dynamic_weather_fwi_only,feature_ablation,legacy_sampled_case_control,False,CatBoost,meteorology plus fire-weather variables,completed,202,0.41254350851141697,validation_f1_max,0.4456002407730895,results/full_grid_improvements_bounded/models/ablation_dynamic_weather_fwi_only.cbm,"{'validation': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_dynamic_weather_fwi_only_validation_predictions.parquet'), 'test': PosixPath('results/full_grid_improvements_bounded/predictions/ablation_dynamic_weather_fwi_only_test_predictions.parquet')}",,,"{'sample_weight_column': None, 'used_sample_weight': False}"
