Experiment,Experiment ID,Model,Feature set,Region,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,Delta F1 vs full,Delta PR-AUC vs full
CatBoost no terrain,ablation_no_terrain,CatBoost,full minus topography,Far East,0.30763444904099285,0.6650406504065041,0.42067369503728463,0.0035229839628565527,0.3484659855817594,0.007375644229557695,-1.5012402554082094e-05,0.0005431327678310782
CatBoost no terrain,ablation_no_terrain,CatBoost,full minus topography,Central Asia,0.13494265630780614,0.5829005193767479,0.21915133308298912,0.007764057718524817,0.15507030856500845,0.015203345687638994,0.0004232594175590798,0.001664047815116615
CatBoost no terrain,ablation_no_terrain,CatBoost,full minus topography,Europe,0.21604614577871,0.2893258426966292,0.247373161212849,0.007347938650997811,0.197803374389586,0.003906497589158289,0.029999101560873626,0.007135515155231753
CatBoost no seasonality,ablation_no_seasonality,CatBoost,full minus month/day-of-year features,Global,0.3830317446832611,0.8195257906854627,0.5220613304342792,0.003370385839599441,0.5481389991511768,0.0037575229946084504,0.0037303960402265135,-0.0018600885886468355
CatBoost no seasonality,ablation_no_seasonality,CatBoost,full minus month/day-of-year features,Eastern Siberia,0.43762303712859957,0.9171650622061599,0.5925244844828299,0.0018823120383671982,0.6325588974970184,0.004490200003735136,0.00041834375411597957,-0.0023547227445521735
CatBoost no seasonality,ablation_no_seasonality,CatBoost,full minus month/day-of-year features,Far East,0.3068264342774147,0.6869918699186992,0.4241967871485944,0.0031064606721634648,0.3544115727092763,0.004778911805424136,-0.0035381045138638267,-0.005402454359685838
CatBoost no seasonality,ablation_no_seasonality,CatBoost,full minus month/day-of-year features,Central Asia,0.13135488137554766,0.6348381941669996,0.21767123287671233,0.007732351428995938,0.15777984040198767,0.014462477283994768,0.0019033596238358652,-0.0010454840218626082
CatBoost no seasonality,ablation_no_seasonality,CatBoost,full minus month/day-of-year features,Europe,0.22045028142589118,0.3300561797752809,0.2643419572553431,0.004830866584299524,0.1987375467299493,0.0026477766411983268,0.013030305518379526,0.006201342814868449
CatBoost no history,ablation_no_history,CatBoost,full minus prior-fire/proximity features,Global,0.2764004781973409,0.924546592882821,0.4255726610144281,0.004328360288395148,0.470805337061619,0.0018166363241608134,0.10021906546007758,0.075473573500911
CatBoost no history,ablation_no_history,CatBoost,full minus prior-fire/proximity features,Eastern Siberia,0.3457723736079346,0.9622285476700675,0.508733661374051,0.001475567228381043,0.5414709512136593,0.013088933870126041,0.08420916686289492,0.08873322353880697
CatBoost no history,ablation_no_history,CatBoost,full minus prior-fire/proximity features,Far East,0.22782651072124757,0.7601626016260162,0.3505811773528309,0.0011253012167255262,0.2916176438250258,0.00437709776718332,0.07007750528189965,0.05739147452456467
CatBoost no history,ablation_no_history,CatBoost,full minus prior-fire/proximity features,Central Asia,0.08635761589403973,0.9117059528565721,0.15777101769911506,0.0007500165985423312,0.09378781399237739,0.0021654950788104065,0.06180357480143314,0.06294654238774768
CatBoost no history,ablation_no_history,CatBoost,full minus prior-fire/proximity features,Europe,0.1497217214078545,0.6706460674157303,0.24479333546940082,0.001123924617045711,0.15236770835840102,0.0013255825403743554,0.0325789273043218,0.05257118118641674
CatBoost no temporal-history/weather lags,ablation_no_temporal_history,CatBoost,full minus lagged meteorology,Global,0.3598989741649792,0.6532899785919134,0.46411558769513317,0.0005163792074536182,0.46262004328022854,0.0020435396035172193,0.0616761387793725,0.08365886728230143
CatBoost no temporal-history/weather lags,ablation_no_temporal_history,CatBoost,full minus lagged meteorology,Eastern Siberia,0.4100117631682133,0.8026353663606998,0.5427629088942958,0.003883735138143583,0.5522077407883019,0.0030410693049097133,0.05017991934265009,0.07799643396416434
CatBoost no temporal-history/weather lags,ablation_no_temporal_history,CatBoost,full minus lagged meteorology,Far East,0.3406265539532571,0.556910569105691,0.4227090404196236,0.0009663994288208286,0.3167259926257294,0.003233134100570437,-0.002050357784893042,0.03228312572386105
CatBoost no temporal-history/weather lags,ablation_no_temporal_history,CatBoost,full minus lagged meteorology,Central Asia,0.13251067869008068,0.5577307231322413,0.21414327350820678,0.005017361176145834,0.17970846127307485,0.013145934120436683,0.005431318992341422,-0.022974104892949793
CatBoost no temporal-history/weather lags,ablation_no_temporal_history,CatBoost,full minus lagged meteorology,Europe,0.22656826568265684,0.21558988764044945,0.2209427851745232,0.007229096541656307,0.18531452675349797,0.005480709897458718,0.05642947759919942,0.019624362791319794
CatBoost <=30d climate windows,ablation_shorter_sequence_30d,CatBoost,full minus >30-day weather-history windows,Global,0.3660819972021952,0.8244940824817223,0.5070359560330373,0.006878365212088916,0.5166572773104353,0.005914483515526945,0.018755770441468367,0.02962163325209466
CatBoost <=30d climate windows,ablation_shorter_sequence_30d,CatBoost,full minus >30-day weather-history windows,Eastern Siberia,0.42975568507836803,0.9102568202897624,0.5838573025755696,0.0023257890887511965,0.5946060690955253,0.006921891598592946,0.009085525661376326,0.03559810565694099
CatBoost <=30d climate windows,ablation_shorter_sequence_30d,CatBoost,full minus >30-day weather-history windows,Far East,0.2951388888888889,0.6910569105691057,0.41362530413625304,0.006260624094500255,0.34861065778123246,0.010372445857168924,0.007033378498477516,0.0003984605683580167
CatBoost <=30d climate windows,ablation_shorter_sequence_30d,CatBoost,full minus >30-day weather-history windows,Central Asia,0.12377761061341722,0.7231322413104275,0.21137451827630505,0.004445060539375957,0.1965134357424141,0.020571489254190663,0.008200074224243153,-0.03977907936228903
CatBoost <=30d climate windows,ablation_shorter_sequence_30d,CatBoost,full minus >30-day weather-history windows,Europe,0.2166009260847196,0.4434691011235955,0.29104735568613893,0.004833205812207466,0.20726945727824353,0.0009309364147719799,-0.013675092912416309,-0.00233056773342577
CatBoost no sine/cos seasonality,ablation_no_periodic_seasonality,CatBoost,full minus periodic seasonality encodings,Global,0.3866930421881538,0.8211818879508825,0.5257917264745057,0.004048385807888288,0.54627891056253,0.003915456891489145,0.0,0.0
CatBoost no sine/cos seasonality,ablation_no_periodic_seasonality,CatBoost,full minus periodic seasonality encodings,Eastern Siberia,0.43778106373572767,0.9184763488662168,0.5929428282369459,0.0014751799720204705,0.6302041747524663,0.003880753966746449,0.0,0.0
CatBoost no sine/cos seasonality,ablation_no_periodic_seasonality,CatBoost,full minus periodic seasonality encodings,Far East,0.30345572354211664,0.6853658536585366,0.42065868263473055,0.0033251134286332884,0.3490091183495905,0.007318459658032298,0.0,0.0
CatBoost no sine/cos seasonality,ablation_no_periodic_seasonality,CatBoost,full minus periodic seasonality encodings,Central Asia,0.1343710860619073,0.600079904115062,0.2195745925005482,0.007330577037581582,0.15673435638012506,0.015828456774160428,0.0,0.0
CatBoost no sine/cos seasonality,ablation_no_periodic_seasonality,CatBoost,full minus periodic seasonality encodings,Europe,0.22818944029005211,0.3535814606741573,0.2773722627737226,0.0076026807475035535,0.20493888954481776,0.0033182762815813617,0.0,0.0
CatBoost no Gaussian-smoothed anthropogenic rasters,ablation_no_gaussian_smoothing,CatBoost,full minus Gaussian road/light/population rasters,Global,0.3750340025025842,0.835339499939411,0.5176595744680851,0.004370319276837656,0.5428270136200537,0.0035001610356213972,0.00813215200642059,0.0034518969424762735
CatBoost no Gaussian-smoothed anthropogenic rasters,ablation_no_gaussian_smoothing,CatBoost,full minus Gaussian road/light/population rasters,Eastern Siberia,0.4296888941764321,0.9241052867240221,0.5866146927754261,0.0024088944117354257,0.6276473050692424,0.0035992887337654485,0.006328135461519779,0.0025568696832238835
CatBoost no Gaussian-smoothed anthropogenic rasters,ablation_no_gaussian_smoothing,CatBoost,full minus Gaussian road/light/population rasters,Far East,0.296831955922865,0.7008130081300813,0.417029511369134,0.00441805091830512,0.35000918464596303,0.006565245223683463,0.0036291712655965314,-0.0010000662963725593
CatBoost no Gaussian-smoothed anthropogenic rasters,ablation_no_gaussian_smoothing,CatBoost,full minus Gaussian road/light/population rasters,Central Asia,0.12860956078621694,0.6352377147423093,0.21391093771021122,0.005445237561415022,0.15432802454983582,0.013988597922220555,0.0056636547903369805,0.002406331830289238
CatBoost no Gaussian-smoothed anthropogenic rasters,ablation_no_gaussian_smoothing,CatBoost,full minus Gaussian road/light/population rasters,Europe,0.23538409245411285,0.4863061797752809,0.3172240036646816,0.00325122965865323,0.21170025810456564,0.0066175908419405976,-0.039851740890959,-0.006761368559747877
CatBoost static only,ablation_static_only,CatBoost,static non-weather features,Global,0.3354609106030714,0.7005695358888395,0.45368105782183915,0.0017516273748786823,0.4475095859880401,0.005492582962707419,0.07211066865266652,0.09876932457448989
CatBoost static only,ablation_static_only,CatBoost,static non-weather features,Eastern Siberia,0.3829433117637775,0.853615633095596,0.528703300186205,0.0003876835700419588,0.5409341884909721,0.0014124004223235636,0.06423952805074085,0.08926998626149418
CatBoost static only,ablation_static_only,CatBoost,static non-weather features,Far East,0.21053864168618266,0.7308943089430894,0.3269090909090909,0.000690662711220836,0.23839487321822866,0.0013798833675841577,0.09374959172563962,0.11061424513136181
CatBoost static only,ablation_static_only,CatBoost,static non-weather features,Central Asia,0.16184448462929477,0.42908509788254096,0.23503665608928767,0.008091221725398686,0.17538467827801327,0.016963510789956865,-0.015462063588739472,-0.018650321897888206
CatBoost static only,ablation_static_only,CatBoost,static non-weather features,Europe,0.21428571428571427,0.22015449438202248,0.2171804641496363,0.0008957696506943222,0.1467165533129345,0.00636375300005334,0.06019179862408633,0.05822233623188325
CatBoost dynamic weather+FWI only,ablation_dynamic_weather_fwi_only,CatBoost,meteorology plus fire-weather variables,Global,0.26762073061212666,0.9328674718261502,0.41592191221427316,7.561799812875535e-06,0.48220962013270774,0.0022182071167536647,0.10986981426023251,0.06406929042982223
CatBoost dynamic weather+FWI only,ablation_dynamic_weather_fwi_only,CatBoost,meteorology plus fire-weather variables,Eastern Siberia,0.3483286365615048,0.9724949627402693,0.512934270122553,0.0032090447135857013,0.5649907154698324,0.011030922318412734,0.08000855811439289,0.06521345928263389
CatBoost dynamic weather+FWI only,ablation_dynamic_weather_fwi_only,CatBoost,meteorology plus fire-weather variables,Far East,0.21089354040063021,0.7617886178861789,0.33033668253128856,0.0037776736302792004,0.29171372189096745,0.0030280309237576625,0.09032200010344199,0.05729539645862303
CatBoost dynamic weather+FWI only,ablation_dynamic_weather_fwi_only,CatBoost,meteorology plus fire-weather variables,Central Asia,0.07613600028422211,0.8561725928885338,0.139836867862969,0.0024320719316417894,0.08600611580265748,0.0009067814785393791,0.0797377246375792,0.07072824057746759
CatBoost dynamic weather+FWI only,ablation_dynamic_weather_fwi_only,CatBoost,meteorology plus fire-weather variables,Europe,0.12657004830917876,0.7359550561797753,0.2159934047815334,0.0012881967242290692,0.15283672471405546,0.0021316821500071696,0.06137885799218923,0.0521021648307623
