feature,group,importance,normalized_importance,rank
stl1_min_7,Weather / meteorology history,0.0,0.0,174
stl1_std_7,Weather / meteorology history,0.0,0.0,175
tp_ewm_120,Weather / meteorology history,0.0,0.0,176
tp_ewm_90,Weather / meteorology history,0.0,0.0,177
tp_ewm_7,Weather / meteorology history,0.0,0.0,178
tp_max_120,Weather / meteorology history,0.0,0.0,179
tp_min_120,Weather / meteorology history,0.0,0.0,180
stl1_median_30,Weather / meteorology history,0.0,0.0,181
stl1_max_30,Weather / meteorology history,0.0,0.0,182
stl1_min_30,Weather / meteorology history,0.0,0.0,183
stl1_mean_30,Weather / meteorology history,0.0,0.0,184
stl1_median_14,Weather / meteorology history,0.0,0.0,185
stl1_median_90,Weather / meteorology history,0.0,0.0,186
stl1_max_14,Weather / meteorology history,0.0,0.0,187
stl1_std_14,Weather / meteorology history,0.0,0.0,188
stl1_mean_120,Weather / meteorology history,0.0,0.0,189
stl1_max_120,Weather / meteorology history,0.0,0.0,190
stl1_ewm_90,Weather / meteorology history,0.0,0.0,191
stl1_ewm_30,Weather / meteorology history,0.0,0.0,192
stl1_ewm_120,Weather / meteorology history,0.0,0.0,193
stl1_trend_intercept_21,Weather / meteorology history,0.0,0.0,194
elevation_point_stddev,Terrain/topography,0.0,0.0,195
elevation_point_max,Terrain/topography,0.0,0.0,196
elevation_point_min,Terrain/topography,0.0,0.0,197
d2m_trend_slope_21,Weather / meteorology history,0.0,0.0,198
tp_mean_14,Weather / meteorology history,0.0,0.0,199
tp_median_7,Weather / meteorology history,0.0,0.0,200
tp_min_14,Weather / meteorology history,0.0,0.0,201
tp_median_14,Weather / meteorology history,0.0,0.0,202
tp_std_30,Weather / meteorology history,0.0,0.0,203
d2m_pct_change_120,Weather / meteorology history,0.0,0.0,204
elevation_gradient_mean_0.1deg,Terrain/topography,0.0,0.0,205
elevation_gradient_max_0.1deg,Terrain/topography,0.0,0.0,206
elevation_gradient_min_0.1deg,Terrain/topography,0.0,0.0,207
elevation_std_0.1deg,Terrain/topography,0.0,0.0,208
elevation_mean_0.1deg,Terrain/topography,0.0,0.0,209
elevation_max_0.1deg,Terrain/topography,0.0,0.0,210
elevation_min_0.1deg,Terrain/topography,0.0,0.0,211
elevation_gradient_std_0.1deg,Terrain/topography,0.0,0.0,212
elevation_gradient_mean_0.2deg,Terrain/topography,0.0,0.0,213
elevation_gradient_std_0.2deg,Terrain/topography,0.0,0.0,214
road_presence_1km,Anthropogenic,0.0,0.0,215
distance_to_road_meters,Anthropogenic,0.0,0.0,216
