region_display,model_name,period_start,period_end,window_days,observed_positive_locations,average_precision,weighted_brier_score,observed_peak_day_index,first_quarter_fire_fraction,middle_half_fire_fraction,centered_activity_score
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-11,2021-07-08,28,1043,0.644,0.2015,27.0,0.0095,0.3358,0.3343
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-04,2021-10-01,28,391,0.6417,0.1259,7.0,0.3642,0.5974,0.5657
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-22,2022-11-18,28,36,0.6401,0.0529,6.0,0.8378,0.1351,0.3438
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-19,2021-07-16,28,1323,0.6394,0.2004,19.0,0.0535,0.6904,0.7116
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-12,2021-07-09,28,1057,0.6376,0.2011,26.0,0.0097,0.4561,0.4046
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-03,2021-09-30,28,401,0.6362,0.1263,8.0,0.1884,0.7674,0.672
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-08,2021-08-04,28,3220,0.6359,0.2009,25.0,0.1819,0.3439,0.4747
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-07,2021-08-03,28,3171,0.6351,0.201,26.0,0.1823,0.3479,0.4522
Global,Spatial climate TSN-MLP (ECMWF global full),2022-10-28,2022-11-24,28,38,0.6327,0.0311,0.0,0.7073,0.2927,0.1962
Global,Spatial climate TSN-MLP (ECMWF global full),2023-03-14,2023-04-10,28,253,0.6326,0.0788,25.0,0.1717,0.3464,0.4434
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-06,2021-08-02,28,3135,0.6322,0.2013,27.0,0.1884,0.3343,0.4175
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-01,2021-09-28,28,420,0.6304,0.1272,10.0,0.098,0.8617,0.7936
Global,Spatial climate TSN-MLP (ECMWF global full),2021-09-02,2021-09-29,28,406,0.6303,0.1261,9.0,0.1605,0.7975,0.7277
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-08,2021-07-05,28,734,0.6279,0.1946,24.0,0.0288,0.2495,0.3924
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-21,2022-11-17,28,36,0.6239,0.0545,7.0,0.4324,0.5405,0.5339
Global,Spatial climate TSN-MLP (ECMWF global full),2022-11-02,2022-11-29,28,17,0.6226,0.022,3.0,0.7368,0.2632,0.2494
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-07,2021-07-04,28,721,0.6224,0.1952,25.0,0.0281,0.2065,0.3428
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-10,2021-07-07,28,882,0.622,0.2014,22.0,0.0169,0.3138,0.4688
Global,Spatial climate TSN-MLP (ECMWF global full),2023-03-12,2023-04-08,28,201,0.622,0.0721,27.0,0.1723,0.3933,0.4031
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-09,2021-07-06,28,772,0.6218,0.1969,23.0,0.0263,0.3005,0.443
Global,Spatial climate TSN-MLP (ECMWF global full),2023-03-11,2023-04-07,28,152,0.6205,0.0658,20.0,0.2245,0.5255,0.6536
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-20,2022-11-16,28,36,0.6205,0.0553,8.0,0.1622,0.8108,0.6766
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-08-21,2021-09-17,28,381,0.6201,0.1697,21.0,0.0793,0.4369,0.5901
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-13,2021-07-10,28,1056,0.6193,0.2012,25.0,0.0128,0.5467,0.4702
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-05,2021-07-02,28,638,0.6178,0.1949,27.0,0.0372,0.1673,0.2683
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-17,2021-07-14,28,1213,0.6178,0.2017,21.0,0.0306,0.6286,0.6339
Global,Spatial climate TSN-MLP (ECMWF global full),2021-10-22,2021-11-18,28,134,0.616,0.0547,3.0,0.7799,0.1887,0.2458
Global,Spatial climate TSN-MLP (ECMWF global full),2021-08-08,2021-09-04,28,1712,0.6133,0.1713,0.0,0.8377,0.1214,0.1293
Global,Spatial climate TSN-MLP (ECMWF global full),2022-09-01,2022-09-28,28,297,0.6122,0.0927,2.0,0.6181,0.2637,0.3499
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-21,2021-07-18,28,2635,0.6111,0.1878,17.0,0.064,0.5856,0.7498
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-18,2021-07-15,28,1218,0.611,0.202,20.0,0.0525,0.758,0.7006
Global,Spatial climate TSN-MLP (ECMWF global full),2022-11-03,2022-11-30,28,13,0.611,0.0206,2.0,0.7333,0.2667,0.2237
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-22,2021-07-19,28,2681,0.609,0.1887,16.0,0.091,0.5879,0.783
Global,Spatial climate TSN-MLP (ECMWF global full),2024-03-01,2024-03-28,28,64,0.6086,0.0366,14.0,0.1268,0.6901,0.8874
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-19,2022-11-15,28,41,0.6057,0.0593,9.0,0.2326,0.7442,0.6725
Global,Spatial climate TSN-MLP (ECMWF global full),2022-09-02,2022-09-29,28,281,0.6038,0.0919,1.0,0.6424,0.2471,0.3057
Global,Spatial climate TSN-MLP (ECMWF global full),2021-08-31,2021-09-27,28,466,0.6027,0.1334,11.0,0.1477,0.8089,0.8065
Global,Spatial climate TSN-MLP (ECMWF global full),2022-08-31,2022-09-27,28,299,0.6014,0.0903,3.0,0.4809,0.3798,0.4202
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-14,2021-07-11,28,1056,0.6005,0.2019,24.0,0.0101,0.5888,0.5249
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-05,2021-08-01,28,3011,0.5999,0.201,25.0,0.1869,0.3548,0.4891
Global,Spatial climate TSN-MLP (ECMWF global full),2022-10-27,2022-11-23,28,51,0.5986,0.0335,1.0,0.7222,0.2778,0.2112
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-23,2021-07-20,28,2699,0.5983,0.1898,15.0,0.1244,0.5653,0.8165
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-18,2022-11-14,28,41,0.5983,0.0615,10.0,0.1628,0.814,0.745
Global,Spatial climate TSN-MLP (ECMWF global full),2021-10-21,2021-11-17,28,161,0.5978,0.0598,4.0,0.8128,0.1444,0.2623
Global,Spatial climate TSN-MLP (ECMWF global full),2021-10-23,2021-11-19,28,114,0.5965,0.0507,2.0,0.8088,0.1544,0.2029
Global,Spatial climate TSN-MLP (ECMWF global full),2023-03-15,2023-04-11,28,256,0.5965,0.0813,24.0,0.1622,0.3483,0.4853
Global,Spatial climate TSN-MLP (ECMWF global full),2022-08-30,2022-09-26,28,299,0.5965,0.0883,4.0,0.4417,0.4228,0.4778
Global,Spatial climate TSN-MLP (ECMWF global full),2021-10-20,2021-11-16,28,163,0.5965,0.0609,5.0,0.8201,0.1429,0.3044
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-20,2021-07-17,28,2530,0.5959,0.1878,18.0,0.0585,0.6221,0.729
Global,Spatial climate TSN-MLP (ECMWF global full),2022-03-01,2022-03-28,28,99,0.5949,0.0516,9.0,0.3016,0.3254,0.6806
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-24,2021-07-21,28,2692,0.5945,0.1898,14.0,0.1515,0.5821,0.8578
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2023-10-29,2023-11-25,28,6,0.5943,0.026,0.0,0.8571,0.1429,0.0849
Global,Spatial climate TSN-MLP (ECMWF global full),2021-08-30,2021-09-26,28,466,0.5938,0.1308,12.0,0.1285,0.83,0.8595
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-02,2021-07-29,28,2937,0.5936,0.1909,27.0,0.2883,0.4041,0.4754
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-03,2021-07-30,28,2985,0.5927,0.1965,27.0,0.2397,0.3558,0.4427
Global,Spatial climate TSN-MLP (ECMWF global full),2023-05-03,2023-05-30,28,661,0.5926,0.1269,0.0,0.7819,0.1801,0.1885
Global,Spatial climate TSN-MLP (ECMWF global full),2022-08-29,2022-09-25,28,299,0.5924,0.0859,5.0,0.4351,0.3946,0.5139
Global,Spatial climate TSN-MLP (ECMWF global full),2022-03-02,2022-03-29,28,103,0.5922,0.0525,8.0,0.3,0.3462,0.6721
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-29,2021-07-26,28,2758,0.5921,0.1868,9.0,0.2757,0.5542,0.7371
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-06-16,2021-07-13,28,1103,0.5908,0.2025,22.0,0.0194,0.6138,0.6121
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-25,2021-07-22,28,2669,0.5903,0.1895,13.0,0.1844,0.5492,0.8601
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-04,2021-07-31,28,3034,0.5898,0.1988,26.0,0.2117,0.3502,0.4633
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2022-10-17,2022-11-13,28,42,0.5897,0.0639,11.0,0.1591,0.8182,0.7896
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-28,2021-07-25,28,2725,0.5885,0.1876,10.0,0.2981,0.5655,0.7498
Eastern Siberia,Spatial climate TSN-MLP (ECMWF global full),2021-05-08,2021-06-04,28,120,0.5884,0.1071,27.0,0.0303,0.096,0.2215
Global,Spatial climate TSN-MLP (ECMWF global full),2021-06-30,2021-07-27,28,2829,0.5883,0.188,8.0,0.2555,0.5367,0.7166
Global,Spatial climate TSN-MLP (ECMWF global full),2024-03-02,2024-03-29,28,64,0.5881,0.0371,13.0,0.2113,0.6338,0.8785
Global,Spatial climate TSN-MLP (ECMWF global full),2021-10-19,2021-11-15,28,170,0.5871,0.0633,6.0,0.7879,0.1667,0.3557
Global,Spatial climate TSN-MLP (ECMWF global full),2021-07-01,2021-07-28,28,2869,0.5856,0.1893,7.0,0.2629,0.4919,0.6853
