Model,Feature set,Region,support,positives,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,ROC-AUC,Brier,threshold,evaluation_type,is_primary
Spatial climate TSN embedding fusion (global full),global full NN features,Eastern Siberia,128260,31267,0.6091736338860917,0.8435730962356478,0.7074632870649769,0.0028650485869397,0.7512979664378169,0.0040477081542588,0.9073429918877258,0.1119944618230747,0.4300945103168487,legacy_sampled_case_control,0.0
Spatial climate TSN-MLP no tp (ERA5 global full),global full NN features,Eastern Siberia,128260,31267,0.6125011802,0.8298845428,0.7048118320000001,0.0021334231,0.7377589551,0.0049802623,0.8977174990000001,0.1090934916,0.3871046007,legacy_sampled_case_control,0.0
CatBoost,all features,Eastern Siberia,128260,31267,0.4505179807,0.9207471136,0.6050079333,0.0014771833,0.6469828931,0.0013074204,0.8645175461,0.1834811901,0.497643269,,
Random Forest,full features,Eastern Siberia,128260,31267,0.4100312674,0.9185083315,0.5669641094,0.0018696218,0.5931096458,0.0024987367,0.8377561582,0.1388286078,0.2174188197,,
Spatial climate TSN-MLP (ECMWF global full),global full NN features,Eastern Siberia,128260,31267,0.4013384622,0.8976236927000001,0.5546749936,0.0012632581,0.5823210295,0.0064422001,0.8264415811,0.1479240343,0.2851233482,legacy_sampled_case_control,0.0
LSTM gated MoE (global full),global full NN features,Eastern Siberia,128260,31267,0.4195290462,0.8894681293000001,0.5701428894,0.0030304897,0.5633756335,0.0058441147,0.822202934,0.1528839923,0.2481723875,legacy_sampled_case_control,0.0
Poisson Point-Process GLM,full features,Eastern Siberia,128260,31267,0.3946187731,0.9282950075,0.5538118089,0.0014962626,0.5400153233,0.0026534464,0.8183125342,0.1568220231,0.32268098,,
Minimal MLP (global full),global full NN features,Eastern Siberia,128260,31267,0.4218782965,0.8953529280000001,0.5735211268,0.0018398327,0.5300491311000001,0.0039840963,0.8129864016,0.1501650912,0.2953715026,legacy_sampled_case_control,0.0
TemporalConvNet / TSN-MLP (global full),global full NN features,Eastern Siberia,128260,31267,0.3410074729,0.9573991748,0.5028937178,0.0016809377,0.5262097103,0.0075661452,0.8099977035,0.1516935143,0.1911493838,legacy_sampled_case_control,0.0
LSTM attention (global full),global full NN features,Eastern Siberia,128260,31267,0.4034249071,0.8853103911,0.5542740434,0.0008440012,0.5196162065000001,0.0035530954,0.8061257486000001,0.1575162964,0.2067688853,legacy_sampled_case_control,0.0
