experiment,status,reason,precision,recall,f1,f1_error,average_precision,average_precision_error,model,feature_set,region,region_display,period,support,positives,negatives,positive_rate,predicted_positives,roc_auc,brier_score,threshold,validation_threshold,evaluation_type,is_primary,train_rows,architecture,source_metrics
LSTM-MLP full current model,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Simple concatenation / one-hot categorical variables,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Learned categorical embeddings,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal-only LSTM branch,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Static-only MLP branch,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Minimal MLP baseline,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
FT-Transformer baseline,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic + static without categorical embeddings,blocked,Prepared NN dataset `data/saved_features/nn_train_data/prepared_data.npz` is absent; current checkpoints cannot be evaluated or ablated reproducibly without rebuilding NN inputs.,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial climate TSN-MLP (ECMWF global full),,,0.2240733808,0.9731707317,0.3642726719,0.0018620548,0.3995985128,0.0054224745,Neural,global full NN features,far_east,Far East,2021-2025,10457.0,1230.0,9227.0,0.1176245577,5342.0,0.8768927529,0.1245059673,0.2851233482,0.2851233482,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_ecmwf/metrics.json
Spatial climate TSN-MLP (ECMWF global full),,,0.1064508978,0.9592489013,0.1916354059,0.0023326742,0.3232094781,0.0088966852,Neural,global full NN features,central_asia,Central Asia,2021-2025,45961.0,2503.0,43458.0,0.0544592154,22555.0,0.8579198404,0.1013412851,0.2851233482,0.2851233482,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_ecmwf/metrics.json
Spatial climate TSN-MLP (ECMWF global full),,,0.1459894227,0.9304775281,0.2523809524,0.0004872582,0.3039434226,0.0126593653,Neural,global full NN features,europe,Europe,2021-2025,52062.0,2848.0,49214.0,0.0547040068,18152.0,0.8879430897,0.081285593,0.2851233482,0.2851233482,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_ecmwf/metrics.json
Spatial climate TSN-MLP no tp (ERA5 global full),,,0.5186339879,0.7996122309,0.629178486,0.0051908666,0.6712284232,0.0052494319,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,76339.0,0.9071885802,0.0869476483,0.3871046007,0.3871046007,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_no_tp/metrics.json
Spatial climate TSN-MLP no tp (ERA5 global full),,,0.6125011802,0.8298845428,0.7048118320000001,0.0021334231,0.7377589551,0.0049802623,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,42364.0,0.8977174990000001,0.1090934916,0.3871046007,0.3871046007,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_no_tp/metrics.json
Spatial climate TSN-MLP no tp (ERA5 global full),,,0.4028688525,0.7991869919,0.5356948229,0.0056520239,0.5838076289,0.009021466,Neural,global full NN features,far_east,Far East,2021-2025,10457.0,1230.0,9227.0,0.1176245577,2440.0,0.8996592714,0.0881366155,0.3871046007,0.3871046007,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_no_tp/metrics.json
Spatial climate TSN-MLP no tp (ERA5 global full),,,0.2116448971,0.76388334,0.3314553177,0.0033569445,0.4131920543,0.0076742382,Neural,global full NN features,central_asia,Central Asia,2021-2025,45961.0,2503.0,43458.0,0.0544592154,9034.0,0.881472322,0.076827434,0.3871046007,0.3871046007,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_no_tp/metrics.json
Spatial climate TSN-MLP no tp (ERA5 global full),,,0.2306752748,0.4641853933,0.3081944283,0.0042255384,0.3335382537,0.0099327298,Neural,global full NN features,europe,Europe,2021-2025,52062.0,2848.0,49214.0,0.0547040068,5731.0,0.8473207031000001,0.0613729297,0.3871046007,0.3871046007,legacy_sampled_case_control,0.0,1185561.0,spatial_climate_tsn_mlp,outputs/nn_global_full_spatial_tsn_no_tp/metrics.json
TemporalConvNet / TSN-MLP (global full),,,0.2482469117,0.9387647938,0.3926590779,0.0010940589,0.449225184,0.0055816101,Neural,global full NN features,global,Global,2021-2025,321173.0,49514.0,271659.0,0.1541661348,187241.0,0.82967642,0.1210734064,0.1911493838,0.1911493838,legacy_sampled_case_control,0.0,1185561.0,tsn_mlp,outputs/nn_global_full_tsn/metrics.json
TemporalConvNet / TSN-MLP (global full),,,0.3410074729,0.9573991748,0.5028937178,0.0016809377,0.5262097103,0.0075661452,Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260.0,31267.0,96993.0,0.2437782629,87784.0,0.8099977035,0.1516935143,0.1911493838,0.1911493838,legacy_sampled_case_control,0.0,1185561.0,tsn_mlp,outputs/nn_global_full_tsn/metrics.json
