experiment_id,experiment,variant,model,feature_set,region,region_display,period,support,positives,positive_rate,predicted_positives,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold,validation_threshold,evaluation_type,is_primary,train_rows,architecture,source_metrics,delta_average_precision_vs_full,delta_f1_vs_full
nn_feature_ablation_tsn_dynamic_sequence_only,Dynamic sequence only,dynamic_sequence_only,TemporalConvNet / TSN-MLP (global full),Dynamic sequence only,europe,Europe,2021-2025,52062,2848,0.05470400676116938,52060,0.05470610833653477,1.0,0.10373716034093393,2.2427788001216717e-06,0.07781945933666515,0.0026799995191535467,0.5831256181441931,0.057162527475974334,0.06578469276428223,0.06578469276428223,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_dynamic_sequence_only/metrics.json,0.2600049616879734,0.1176539531189628
nn_feature_ablation_tsn_full,Full neural feature set,full,TemporalConvNet / TSN-MLP (global full),Full neural feature set,europe,Europe,2021-2025,52062,2848,0.05470400676116938,21751,0.12518964645303665,0.9561095505617978,0.22139111345989673,0.0013861679981810118,0.3378244210246385,0.01315269250335885,0.888780973276308,0.07192180563326672,0.19114938378334045,0.19114938378334045,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_global_full_tsn/metrics.json,0.0,0.0
nn_feature_ablation_tsn_no_categorical_features,No categorical features,no_categorical_features,TemporalConvNet / TSN-MLP (global full),No categorical features,europe,Europe,2021-2025,52062,2848,0.05470400676116938,15299,0.16262500817046865,0.8735955056179775,0.274205102771808,0.0009250368164198798,0.27258170344928023,0.0038334936897419457,0.873777163955584,0.08268745464733927,0.3163717985153198,0.3163717985153198,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_categorical_features/metrics.json,0.06524271757535827,-0.05281398931191125
nn_feature_ablation_tsn_no_dynamic_sequence,No dynamic weather sequence,no_dynamic_sequence,TemporalConvNet / TSN-MLP (global full),No dynamic weather sequence,europe,Europe,2021-2025,52062,2848,0.05470400676116938,21645,0.11665511665511666,0.8865870786516854,0.20618135793900297,0.002774619812534371,0.2127372623427702,0.007710582589644062,0.822750216978315,0.09937044000874992,0.30573025345802307,0.30573025345802307,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_dynamic_sequence/metrics.json,0.1250871586818683,0.015209755520893764
nn_feature_ablation_tsn_no_static_features,No static features,no_static_features,TemporalConvNet / TSN-MLP (global full),No static features,europe,Europe,2021-2025,52062,2848,0.05470400676116938,25769,0.10019791222010943,0.9066011235955056,0.18045217877485412,0.0012372001463136534,0.2377319283822913,0.005569482811481401,0.8298769400766567,0.08986232805060543,0.21946614980697632,0.21946614980697632,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_static_features/metrics.json,0.10009249264234721,0.040938934685042616
nn_feature_ablation_tsn_dynamic_sequence_only,Dynamic sequence only,dynamic_sequence_only,TemporalConvNet / TSN-MLP (global full),Dynamic sequence only,far_east,Far East,2021-2025,10457,1230,0.11762455771253706,10456,0.11763580719204285,1.0,0.21050830053054936,1.5071173096803396e-05,0.2941719728588029,0.013719091719070025,0.7481476243720929,0.10002740643655895,0.06578469276428223,0.06578469276428223,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_dynamic_sequence_only/metrics.json,0.12786870151830526,0.08875095872870992
nn_feature_ablation_tsn_full,Full neural feature set,full,TemporalConvNet / TSN-MLP (global full),Full neural feature set,far_east,Far East,2021-2025,10457,1230,0.11762455771253706,6870,0.17641921397379912,0.9853658536585366,0.2992592592592593,0.0011375066222127066,0.4220406743771082,0.006017062147417346,0.8766963515522227,0.11828548385059968,0.19114938378334045,0.19114938378334045,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_global_full_tsn/metrics.json,0.0,0.0
nn_feature_ablation_tsn_no_categorical_features,No categorical features,no_categorical_features,TemporalConvNet / TSN-MLP (global full),No categorical features,far_east,Far East,2021-2025,10457,1230,0.11762455771253706,5551,0.21293460637722933,0.9609756097560975,0.3486211473234036,0.0024832274189392164,0.40126143261250635,0.004772622378081154,0.858802991573863,0.1379867980914096,0.3163717985153198,0.3163717985153198,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_categorical_features/metrics.json,0.02077924176460183,-0.04936188806414432
nn_feature_ablation_tsn_no_dynamic_sequence,No dynamic weather sequence,no_dynamic_sequence,TemporalConvNet / TSN-MLP (global full),No dynamic weather sequence,far_east,Far East,2021-2025,10457,1230,0.11762455771253706,4423,0.24259552340040696,0.8723577235772357,0.37962143994339287,0.003643733816862564,0.2750465958496063,0.0047264303993978666,0.8015839428471233,0.11975961159701887,0.30573025345802307,0.30573025345802307,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_dynamic_sequence/metrics.json,0.1469940785275019,-0.08036218068413359
nn_feature_ablation_tsn_no_static_features,No static features,no_static_features,TemporalConvNet / TSN-MLP (global full),No static features,far_east,Far East,2021-2025,10457,1230,0.11762455771253706,6926,0.17138319376263356,0.9650406504065041,0.2910740559097597,0.0010784375819797522,0.3583335519184869,0.01140273987476178,0.8333847025475782,0.13185360892959264,0.21946614980697632,0.21946614980697632,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_static_features/metrics.json,0.06370712245862126,0.00818520334949957
nn_feature_ablation_tsn_dynamic_sequence_only,Dynamic sequence only,dynamic_sequence_only,TemporalConvNet / TSN-MLP (global full),Dynamic sequence only,global,Global,2021-2025,321173,49514,0.15416613476226207,317670,0.153583907828879,0.9853576766167145,0.2657468735021134,0.00026493168722857346,0.21577432764569762,0.0038801539350816682,0.6152459803190768,0.1287044072123607,0.06578469276428223,0.06578469276428223,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_dynamic_sequence_only/metrics.json,0.23345085639670585,0.12691220444766593
nn_feature_ablation_tsn_full,Full neural feature set,full,TemporalConvNet / TSN-MLP (global full),Full neural feature set,global,Global,2021-2025,321173,49514,0.15416613476226207,187241,0.24824691173407534,0.9387647937956941,0.39265907794977933,0.0025498530715632743,0.44922518404240347,0.010895032520083973,0.8296764199865629,0.1210734064033841,0.19114938378334045,0.19114938378334045,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_global_full_tsn/metrics.json,0.0,0.0
nn_feature_ablation_tsn_no_categorical_features,No categorical features,no_categorical_features,TemporalConvNet / TSN-MLP (global full),No categorical features,global,Global,2021-2025,321173,49514,0.15416613476226207,148685,0.2987254934929549,0.8970392212303591,0.4481960050252524,0.0013676856062262077,0.46582009078298203,0.004546319726722032,0.8399038542358618,0.12779621787403445,0.3163717985153198,0.3163717985153198,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_categorical_features/metrics.json,-0.016594906740578563,-0.055536927075473086
nn_feature_ablation_tsn_no_dynamic_sequence,No dynamic weather sequence,no_dynamic_sequence,TemporalConvNet / TSN-MLP (global full),No dynamic weather sequence,global,Global,2021-2025,321173,49514,0.15416613476226207,167775,0.25160482789450156,0.852546754453286,0.3885424480760646,0.0017272721204530407,0.2975536706466179,0.0024087698157833886,0.7556412937910968,0.13988672824737458,0.30573025345802307,0.30573025345802307,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_dynamic_sequence/metrics.json,0.15167151339578555,0.00411662987371475
nn_feature_ablation_tsn_no_static_features,No static features,no_static_features,TemporalConvNet / TSN-MLP (global full),No static features,global,Global,2021-2025,321173,49514,0.15416613476226207,189177,0.24036220047891657,0.9183463262915539,0.38100305415788616,0.0014345101304655882,0.3970304092542676,0.007956866061838458,0.8009773781316288,0.1288361415881225,0.21946614980697632,0.21946614980697632,legacy_sampled_case_control,False,1185561,tsn_mlp,outputs/nn_feature_ablation_tsn_no_static_features/metrics.json,0.05219477478813589,0.011656023791893177
