experiment,model,feature_set,region,region_display,period,support,positives,negatives,positive_rate,predicted_positives,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold,validation_threshold,evaluation_type,is_primary,train_rows,architecture,source_metrics
FT-Transformer (global full),Neural,global full NN features,global,Global,2023,60888,6898,53990,0.113289975,24968,0.2324575457,0.8414033053000001,0.3642754033,0.0019872641,0.2975883401,0.0031040525,0.8108113846,0.1107614088,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2023,18853,1391,17462,0.0737813611,8664,0.1352723915,0.8425593098,0.2331178518,0.0028685926,0.2260601609,0.0081683702,0.7857527707,0.1199016156,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,far_east,Far East,2023,2267,333,1934,0.1468901632,1283,0.250974279,0.966966967,0.3985148515,0.0021492591,0.4274827745,0.0111830332,0.8507302546000001,0.1265135473,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,central_asia,Central Asia,2023,9281,411,8870,0.0442840211,3713,0.0894155669,0.8077858881000001,0.1610087294,0.0039938187,0.2993957474,0.0143474117,0.8191520119,0.0752371317,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,europe,Europe,2023,10456,494,9962,0.0472456006,2485,0.1826961771,0.9190283401,0.3048002685,0.0057696239,0.3697553146,0.025249671,0.9104038667,0.0487393731,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,global,Global,2024,65063,9134,55929,0.1403870095,24318,0.238958796,0.6361944384,0.3474231735,0.0042946738,0.2982159369,0.0049650273,0.7375163443,0.1322569583,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2024,26660,6189,20471,0.2321455364,13283,0.3144620944,0.6749070932,0.4290262942,0.002377071,0.3671164155,0.0077544277,0.6814610644,0.1939420336,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,far_east,Far East,2024,2229,298,1931,0.1336922387,1221,0.2211302211,0.9060402685,0.3554970375,0.0089047565,0.4297890046,0.0376744814,0.8371310202000001,0.1303885359,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,central_asia,Central Asia,2024,9003,187,8816,0.0207708542,3051,0.0530973451,0.8663101604000001,0.1000617665,0.0039634727,0.1981911064,0.031249438,0.8498166921,0.0598553973,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,europe,Europe,2024,10472,493,9979,0.0470779221,2844,0.1455696203,0.8397565923,0.2481270602,0.0027346023,0.2470446512,0.0108372908,0.8648010721,0.0570424964,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,global,Global,2025,49672,3787,45885,0.0762401353,17879,0.1799317635,0.8494850805,0.2969629835,0.0011611558,0.2697404896,0.005881158,0.8375513473,0.0843138954,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2025,19162,2442,16720,0.1274397245,9031,0.2509135201,0.9279279279,0.3950143816,0.0030289222,0.3569448526,0.007097703,0.8309746036000001,0.1140888967,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,far_east,Far East,2025,1744,137,1607,0.0785550459,687,0.1965065502,0.9854014599,0.3276699029,0.0090008803,0.4842648115,0.0546373364,0.9344155815,0.0707626649,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,central_asia,Central Asia,2025,7618,304,7314,0.039905487,2853,0.0834209604,0.7828947368,0.1507760532,0.0070089039,0.201461798,0.0265880628,0.8101550019,0.0674483547,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,europe,Europe,2025,8878,632,8246,0.0711872043,2519,0.1830091306,0.7294303797,0.2926055221,0.0080808167,0.2367029001,0.0193798102,0.8242053301000001,0.0727330878,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,global,Global,2021-2023,206438,36593,169845,0.1772590318,95772,0.3363717997,0.8803596316000001,0.4867600952,0.0022535832,0.4734057161,0.0091879018,0.8270339314,0.1274431313,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2023,82438,22636,59802,0.2745821102,48358,0.4205508913,0.8984361195,0.5729216554000001,0.0005533873,0.5536756347,0.0029221404,0.7955801736,0.1682923115,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,far_east,Far East,2021-2023,6484,795,5689,0.1226095003,3424,0.2196261682,0.9459119497,0.3564825788,0.0026562852,0.3770816038,0.0167992345,0.8413816358,0.1269044982,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,central_asia,Central Asia,2021-2023,29340,2012,27328,0.0685753238,12894,0.1362649294,0.8732604374,0.2357439957,0.0022805998,0.2962205245,0.0057685944,0.8250955061,0.0890651436,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,europe,Europe,2021-2023,32712,1723,30989,0.0526718024,8720,0.177293578,0.8972721997,0.2960835009,0.0026024517,0.3075483019,0.0172606965,0.8915325898,0.0557119863,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,global,Global,2021-2025,321173,49514,271659,0.1541661348,137969,0.2989294697,0.8329563356,0.4399652235,0.0019388807,0.4234355108,0.0039749642,0.8143480561,0.1217480281,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260,31267,96993,0.2437782629,70672,0.3789336654,0.8564940672,0.5254122563,0.0013569236,0.5020292125,0.0050924643,0.7802978604,0.1655258664,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,far_east,Far East,2021-2025,10457,1230,9227,0.1176245577,5332,0.2169917479,0.9406504065,0.3526363913,0.0041001638,0.3927793698,0.0072123381,0.8547410789000001,0.1182839151,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,central_asia,Central Asia,2021-2025,45961,2503,43458,0.0544592154,18798,0.1147462496,0.8617658809000001,0.202525703,0.0012472095,0.267286085,0.0020722174,0.8312075902,0.0797604713,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
FT-Transformer (global full),Neural,global full NN features,europe,Europe,2021-2025,52062,2848,49214,0.0547040068,14083,0.1719093943,0.8500702247,0.2859842892,0.0017175221,0.2798939504,0.0059745112,0.8729766159000001,0.0588821765,0.1592247635,0.1592247635,legacy_sampled_case_control,False,1185561,ft_transformer,outputs/nn_global_full_ft_transformer/metrics.json
LSTM attention (global full),Neural,global full NN features,global,Global,2021,87238,24772,62466,0.2839588253,48039,0.4755511147,0.9222105603,0.6275150733,0.0018369849,0.5971716769000001,0.0030067727,0.8370127766000001,0.1494892614,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2021,44639,19789,24850,0.4433119021,32867,0.5698116652,0.9463843549,0.7113339411,0.0011546249,0.6686065976000001,0.0039281234,0.7700232534,0.1924611681,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,far_east,Far East,2021,2141,270,1871,0.1261092947,967,0.2492244054,0.8925925926,0.3896523848,0.0102104645,0.4540607018,0.020406008,0.8576677158,0.1233137568,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,central_asia,Central Asia,2021,10197,903,9294,0.0885554575,4382,0.172752168,0.8383167220000001,0.2864711447,0.0035705981,0.2555854041,0.0128115584,0.7963285474,0.1086382331,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,europe,Europe,2021,11926,847,11079,0.071021298,2586,0.2544470224,0.7768595041,0.3833381882,0.0089238395,0.3348743565,0.0158432659,0.8862446295,0.0609667431,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,global,Global,2022,58312,4923,53389,0.0844251612,18500,0.2061621622,0.7747308552000001,0.3256628101,0.0026783096,0.2203939913,0.0019397145,0.8206263513000001,0.0935454057,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2022,18946,1456,17490,0.0768499947,6554,0.1728715288,0.7781593407,0.2828963795,0.0032099041,0.1531012338,0.0025828603,0.7824029744000001,0.1079891628,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,far_east,Far East,2022,2076,192,1884,0.0924855491,837,0.2126642772,0.9270833333,0.3459669582,0.0138501806,0.2537005171,0.0282436288,0.8314037067000001,0.1037792499,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,central_asia,Central Asia,2022,9862,698,9164,0.0707767187,3996,0.1521521522,0.8710601719000001,0.2590541116,0.00312935,0.2710818711,0.0238402702,0.8181821166000001,0.0964516239,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,europe,Europe,2022,10330,382,9948,0.0369796709,1717,0.1753057659,0.7879581152,0.2868032396,0.0040565367,0.2797295306,0.0185339237,0.899892267,0.041509709,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,global,Global,2023,60888,6898,53990,0.113289975,22422,0.2515386674,0.8176282981,0.3847203274,0.0031250641,0.3224541424,0.0036692566,0.8272789636000001,0.1089119056,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2023,18853,1391,17462,0.0737813611,7709,0.1346478142,0.7462257369,0.2281318681,0.0037695753,0.1803764934,0.0058683347,0.7620744884,0.1258636138,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,far_east,Far East,2023,2267,333,1934,0.1468901632,1141,0.2699386503,0.9249249249,0.4179104478,0.007156435,0.3808240052,0.0123301095,0.8246457419000001,0.1338188695,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,central_asia,Central Asia,2023,9281,411,8870,0.0442840211,3097,0.0994510817,0.7493917275,0.1755986317,0.0045307069,0.276085353,0.0330676717,0.8107058704000001,0.0808389296,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,europe,Europe,2023,10456,494,9962,0.0472456006,1760,0.2409090909,0.8582995951,0.3762200532,0.006862085,0.4308481159,0.0163739208,0.9256252708,0.0410397801,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,global,Global,2024,65063,9134,55929,0.1403870095,22867,0.2718765033,0.6806437486,0.3885503578,0.002745464,0.3294015201,0.0038128961,0.7728746951000001,0.1277600525,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2024,26660,6189,20471,0.2321455364,13280,0.3423945783,0.7346905801,0.467101546,0.0031489515,0.3750804105,0.0059916321,0.7050144923,0.1894672001,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,far_east,Far East,2024,2229,298,1931,0.1336922387,1086,0.2504604052,0.9127516779,0.3930635838,0.0114906266,0.387555355,0.0241521298,0.8457053584,0.1233897085,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,central_asia,Central Asia,2024,9003,187,8816,0.0207708542,2847,0.0561995083,0.8556149733,0.105471325,0.003946846,0.338189104,0.0431480176,0.8864273271,0.0647755792,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,europe,Europe,2024,10472,493,9979,0.0470779221,1940,0.1809278351,0.7119675456,0.2885326757,0.0066835396,0.2638475736,0.0165148145,0.8778522118000001,0.0501702571,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,global,Global,2025,49672,3787,45885,0.0762401353,15285,0.2010467779,0.8114602588000001,0.3222525168,0.0025553641,0.3307038299,0.0051158415,0.8554467016,0.0830377599,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2025,19162,2442,16720,0.1274397245,8205,0.2723948812,0.9152334152,0.4198365737,0.0006500434,0.4201177934,0.0094117047,0.8617071563,0.111768143,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,far_east,Far East,2025,1744,137,1607,0.0785550459,565,0.2265486726,0.9343065693,0.3646723647,0.005714796,0.5371286802,0.0432042426,0.9185452332,0.0705122472,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,central_asia,Central Asia,2025,7618,304,7314,0.039905487,2496,0.0873397436,0.7171052632,0.1557142857,0.0058389365,0.1529665719,0.0118018766,0.7902018299,0.0780421617,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,europe,Europe,2025,8878,632,8246,0.0711872043,1775,0.2276056338,0.6392405063000001,0.3356875779,0.0116163939,0.2503917682,0.0174887006,0.8428369182000001,0.0667870157,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,global,Global,2021-2023,206438,36593,169845,0.1772590318,88961,0.3630692101,0.8826551526,0.5145037195000001,0.00110967,0.4904842319,0.00414613,0.8505387397,0.1217188308,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2023,82438,22636,59802,0.2745821102,47130,0.4434330575,0.9232638275,0.5991170484,0.001460742,0.5700219835,0.0063917277,0.8202183961,0.1578173108,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,far_east,Far East,2021-2023,6484,795,5689,0.1226095003,2945,0.2468590832,0.9144654088,0.3887700535,0.0054593337,0.3788459877,0.0138931028,0.8398084796,0.1207322414,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,central_asia,Central Asia,2021-2023,29340,2012,27328,0.0685753238,11475,0.145795207,0.8315109344,0.2480907541,0.0017200348,0.2634215355,0.0082185599,0.8116109676000001,0.0957483328,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,europe,Europe,2021-2023,32712,1723,30989,0.0526718024,6063,0.2281048986,0.8026697620000001,0.3552530182,0.0034365826,0.3469892452,0.0059899467,0.904069184,0.0484530635,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,global,Global,2021-2025,321173,49514,271659,0.1541661348,127113,0.3271813269,0.8399442582000001,0.4709246038,0.0013183655,0.4464965735,0.002356869,0.8399825372,0.116960317,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2021-2025,128260,31267,96993,0.2437782629,68615,0.4034249071,0.8853103911,0.5542740434,0.000802637,0.5196162065000001,0.0021896781,0.8061257486000001,0.1575162964,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,far_east,Far East,2021-2025,10457,1230,9227,0.1176245577,4596,0.2452132289,0.9162601626,0.3868863714,0.0038564806,0.3890085438,0.0109606976,0.8540750413,0.1129231015,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,central_asia,Central Asia,2021-2025,45961,2503,43458,0.0544592154,16818,0.1219526698,0.8194167,0.2123078516,0.0010488971,0.2473103799,0.0081697384,0.8209585563,0.0867464984,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM attention (global full),Neural,global full NN features,europe,Europe,2021-2025,52062,2848,49214,0.0547040068,9778,0.2186541215,0.7507022472,0.3386662443,0.0059188331,0.3095481575,0.011895791,0.8872711861,0.0519249101,0.2067688853,0.2067688853,legacy_sampled_case_control,False,1185561,lstm_attention,outputs/nn_global_full_lstm_attention/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,global,Global,2021,87238,24772,62466,0.2839588253,47296,0.483550406,0.9232197642,0.6346783593,0.0019519085,0.6374250676000001,0.0053181936,0.8472913412,0.146352838,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2021,44639,19789,24850,0.4433119021,32431,0.5798156085,0.9502248724,0.7201838376,0.001219016,0.6918477205,0.0037382851,0.780078244,0.1881064844,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,far_east,Far East,2021,2141,270,1871,0.1261092947,922,0.2689804772,0.9185185185,0.4161073826,0.0091623786,0.4652507449,0.0157130865,0.8762456203000001,0.1226584055,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,central_asia,Central Asia,2021,10197,903,9294,0.0885554575,4293,0.1702771954,0.8095238095,0.2813702848,0.0050816529,0.3118397277,0.0145062468,0.8022251939,0.1086783728,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,europe,Europe,2021,11926,847,11079,0.071021298,2919,0.2312435766,0.7969303424,0.3584705258,0.0024733972,0.2871139683,0.0088658861,0.8679181062,0.0680658508,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,global,Global,2022,58312,4923,53389,0.0844251612,17148,0.2067879636,0.7202925046,0.3213266277,0.0016747258,0.2583211059,0.0055202403,0.8223361127000001,0.0915177797,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,eastern_siberia,Eastern Siberia,2022,18946,1456,17490,0.0768499947,5775,0.1807792208,0.7170329670000001,0.2887567418,0.0019060024,0.188307414,0.0072812843,0.7985805664000001,0.1005381792,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,far_east,Far East,2022,2076,192,1884,0.0924855491,796,0.2248743719,0.9322916667,0.3623481781,0.0079205754,0.2871786489,0.0177771472,0.858200084,0.1039827399,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
LSTM gated MoE (global full),Neural,global full NN features,central_asia,Central Asia,2022,9862,698,9164,0.0707767187,3897,0.1516551193,0.8467048711,0.2572361262,0.0040965081,0.3025649049,0.0105645268,0.8211595392000001,0.0992356179,0.2481723875,0.2481723875,legacy_sampled_case_control,False,1185561,lstm_gated_moe,outputs/nn_global_full_lstm_gated_moe/metrics.json
