experiment_id,experiment_type,model,feature_set,split,region,region_display,support,positives,threshold,metric,value
random_forest_full,main_model_comparison,Random Forest,full features,test,central_asia,Central Asia,45961,2503,0.14228679239749908,average_precision,0.2600870587929137
random_forest_full,main_model_comparison,Random Forest,full features,test,europe,Europe,52062,2848,0.14228679239749908,average_precision,0.283498885068607
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,global,Global,87238,24772,0.14228679239749908,average_precision,0.6308621977354497
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,eastern_siberia,Eastern Siberia,44639,19789,0.14228679239749908,average_precision,0.7004297287535156
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,far_east,Far East,2141,270,0.14228679239749908,average_precision,0.5743473309362925
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,central_asia,Central Asia,10197,903,0.14228679239749908,average_precision,0.322191797882862
random_forest_full,main_model_comparison,Random Forest,full features,test_2021,europe,Europe,11926,847,0.14228679239749908,average_precision,0.26173532032304614
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,global,Global,58312,4923,0.14228679239749908,average_precision,0.2812119272721224
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,eastern_siberia,Eastern Siberia,18946,1456,0.14228679239749908,average_precision,0.1985030662435299
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,far_east,Far East,2076,192,0.14228679239749908,average_precision,0.3748814170609267
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,central_asia,Central Asia,9862,698,0.14228679239749908,average_precision,0.32500254953520263
random_forest_full,main_model_comparison,Random Forest,full features,test_2022,europe,Europe,10330,382,0.14228679239749908,average_precision,0.2422882164421798
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,global,Global,60888,6898,0.14228679239749908,average_precision,0.3823988311085467
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,eastern_siberia,Eastern Siberia,18853,1391,0.14228679239749908,average_precision,0.22398966013163446
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,far_east,Far East,2267,333,0.14228679239749908,average_precision,0.36372711380984246
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,central_asia,Central Asia,9281,411,0.14228679239749908,average_precision,0.26276734816727304
random_forest_full,main_model_comparison,Random Forest,full features,test_2023,europe,Europe,10456,494,0.14228679239749908,average_precision,0.3804164510274716
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,global,Global,65063,9134,0.14228679239749908,average_precision,0.29503429397356773
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,eastern_siberia,Eastern Siberia,26660,6189,0.14228679239749908,average_precision,0.3664127744522575
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,far_east,Far East,2229,298,0.14228679239749908,average_precision,0.3413670839649015
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,central_asia,Central Asia,9003,187,0.14228679239749908,average_precision,0.17657391283201154
random_forest_full,main_model_comparison,Random Forest,full features,test_2024,europe,Europe,10472,493,0.14228679239749908,average_precision,0.2668342628525558
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,global,Global,49672,3787,0.14228679239749908,average_precision,0.40005150151269786
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,eastern_siberia,Eastern Siberia,19162,2442,0.14228679239749908,average_precision,0.4826943373694198
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,far_east,Far East,1744,137,0.14228679239749908,average_precision,0.4995799047914057
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,central_asia,Central Asia,7618,304,0.14228679239749908,average_precision,0.1227326372224926
random_forest_full,main_model_comparison,Random Forest,full features,test_2025,europe,Europe,8878,632,0.14228679239749908,average_precision,0.2878226850424091
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,global,Global,206438,36593,0.14228679239749908,average_precision,0.5198908112022544
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,eastern_siberia,Eastern Siberia,82438,22636,0.14228679239749908,average_precision,0.5942075844283871
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,far_east,Far East,6484,795,0.14228679239749908,average_precision,0.4487886322387028
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,central_asia,Central Asia,29340,2012,0.14228679239749908,average_precision,0.3025368110043292
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2023,europe,Europe,32712,1723,0.14228679239749908,average_precision,0.29126028711847585
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,global,Global,321173,49514,0.14228679239749908,average_precision,0.46415168749338614
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,eastern_siberia,Eastern Siberia,128260,31267,0.14228679239749908,average_precision,0.5355128063639194
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,far_east,Far East,10457,1230,0.14228679239749908,average_precision,0.4260834378102696
random_forest_full,main_model_comparison,Random Forest,full features,test_2021-2025,central_asia,Central Asia,45961,2503,0.14228679239749908,average_precision,0.2600870587929137
