model,feature_set,region_display,period,support,positives,positive_rate,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold
Random Forest,full features,Eastern Siberia,2022,18946,1456,0.076849994721841,0.1643344097595981,0.9436813186813188,0.2799225832739126,0.0016929546704257,0.1985030662435299,0.000888735637343,0.8218394223700828,0.0933086858791323,0.142286792397499
Random Forest,full features,Eastern Siberia,2023,18853,1391,0.0737813610565957,0.125585266881698,0.8677210639827462,0.2194146518814761,0.0001327966249396,0.2239896601316344,0.0003889110956799,0.8019762703789541,0.1004053924685638,0.142286792397499
Random Forest,full features,Eastern Siberia,2024,26660,6189,0.232145536384096,0.3267797017797018,0.8781709484569398,0.4763156741597651,0.0003708989977899,0.3664127744522575,0.0022042540200939,0.7236246359456325,0.1704527830670407,0.142286792397499
Random Forest,full features,Eastern Siberia,2025,19162,2442,0.1274397244546498,0.2589676290463692,0.9696969696969696,0.40876920421198,0.0015202918088138,0.4826943373694198,0.0074328033906348,0.9009435163741384,0.0972112000872517,0.142286792397499
Random Forest,full features,Europe,2021,11926,847,0.0710212980043602,0.1751541447819136,0.9055489964580874,0.2935323383084577,0.0007494808210803,0.2617353203230461,0.0088237850254623,0.8535629006790665,0.0656865163943455,0.142286792397499
Random Forest,full features,Europe,2021-2023,32712,1723,0.052671802396674,0.150351333140822,0.9065583284968078,0.2579260237780713,0.0033817379985859,0.2912602871184758,0.0246424551447437,0.8861312011056213,0.0513252464823912,0.142286792397499
Random Forest,full features,Europe,2021-2025,52062,2848,0.0547040067611693,0.1513753221070294,0.886938202247191,0.2586127463527002,0.0012446304011633,0.283498885068607,0.0092205115677322,0.873528201102226,0.0531135798768479,0.142286792397499
Random Forest,full features,Europe,2022,10330,382,0.0369796708615682,0.1157858136300417,0.8717277486910995,0.2044198895027624,0.0133457929365409,0.2422882164421798,0.0367804640460084,0.8861664424641644,0.0414256463034493,0.142286792397499
Random Forest,full features,Europe,2023,10456,494,0.0472456006120887,0.1474154435226547,0.9352226720647774,0.2546857772877618,0.0044154369923788,0.3804164510274716,0.0033951896271105,0.9211034319076458,0.0447252431234111,0.142286792397499
Random Forest,full features,Europe,2024,10472,493,0.047077922077922,0.1218499851764008,0.8336713995943205,0.2126228660113812,0.0053602212093978,0.2668342628525558,0.0056401592966927,0.8508104341632642,0.0497812063792616,0.142286792397499
Random Forest,full features,Europe,2025,8878,632,0.0711872043252984,0.189059829059829,0.875,0.310936182175991,0.0064900666852995,0.2878226850424091,0.0015508957248521,0.8549009761541461,0.0636335818216764,0.142286792397499
Random Forest,full features,Far East,2021,2141,270,0.1261092947220924,0.2216264521894548,0.9185185185185184,0.3570914326853852,0.0097248862386316,0.5743473309362925,0.0841743863452767,0.8818437357721164,0.0990572025645372,0.142286792397499
Random Forest,full features,Far East,2021-2023,6484,795,0.1226095003084515,0.2048766816143497,0.919496855345912,0.3350905340362136,0.0014024370534762,0.4487886322387028,0.0016147311491369,0.8462890428510941,0.1066654228614526,0.142286792397499
Random Forest,full features,Far East,2021-2025,10457,1230,0.117624557712537,0.2066189624329159,0.9390243902439024,0.3387096774193548,0.0039188710355098,0.4260834378102696,0.0107081040788806,0.8510371206454017,0.1055466600815193,0.142286792397499
