model,feature_set,region_display,period,support,positives,positive_rate,precision,recall,f1,f1_error,average_precision,average_precision_error,roc_auc,brier_score,threshold
Random Forest,full features,Europe,2021,11926,847,0.07102129800436022,0.17515414478191368,0.9055489964580874,0.2935323383084577,0.0007494808210803433,0.26173532032304614,0.008823785025462393,0.8535629006790665,0.06568651639434551,0.14228679239749908
Random Forest,full features,Europe,2021-2023,32712,1723,0.052671802396674,0.15035133314082202,0.9065583284968078,0.25792602377807133,0.0033817379985859415,0.29126028711847585,0.02464245514474375,0.8861312011056213,0.05132524648239127,0.14228679239749908
Random Forest,full features,Europe,2021-2025,52062,2848,0.05470400676116938,0.15137532210702942,0.886938202247191,0.25861274635270026,0.001244630401163333,0.283498885068607,0.009220511567732239,0.873528201102226,0.0531135798768479,0.14228679239749908
Random Forest,full features,Europe,2022,10330,382,0.036979670861568247,0.11578581363004173,0.8717277486910995,0.20441988950276244,0.013345792936540906,0.2422882164421798,0.03678046404600848,0.8861664424641644,0.041425646303449366,0.14228679239749908
Random Forest,full features,Europe,2023,10456,494,0.04724560061208875,0.14741544352265476,0.9352226720647774,0.25468577728776187,0.0044154369923788805,0.3804164510274716,0.003395189627110534,0.9211034319076458,0.04472524312341113,0.14228679239749908
Random Forest,full features,Europe,2024,10472,493,0.04707792207792208,0.12184998517640083,0.8336713995943205,0.21262286601138128,0.005360221209397871,0.2668342628525558,0.005640159296692791,0.8508104341632642,0.04978120637926166,0.14228679239749908
Random Forest,full features,Europe,2025,8878,632,0.07118720432529849,0.18905982905982907,0.875,0.310936182175991,0.006490066685299566,0.2878226850424091,0.0015508957248521649,0.8549009761541461,0.06363358182167646,0.14228679239749908
Random Forest,full features,Far East,2021,2141,270,0.12610929472209248,0.22162645218945487,0.9185185185185185,0.3570914326853852,0.009724886238631684,0.5743473309362925,0.08417438634527676,0.8818437357721164,0.09905720256453723,0.14228679239749908
Random Forest,full features,Far East,2021-2023,6484,795,0.12260950030845158,0.20487668161434977,0.919496855345912,0.33509053403621364,0.0014024370534762459,0.4487886322387028,0.0016147311491369258,0.8462890428510941,0.10666542286145267,0.14228679239749908
Random Forest,full features,Far East,2021-2025,10457,1230,0.11762455771253706,0.20661896243291591,0.9390243902439024,0.3387096774193548,0.003918871035509801,0.4260834378102696,0.010708104078880674,0.8510371206454017,0.10554666008151939,0.14228679239749908
Random Forest,full features,Far East,2022,2076,192,0.09248554913294797,0.16564952048823017,0.9895833333333334,0.2837938760268857,0.006803228358798052,0.3748814170609267,0.07900414272051756,0.8704745001769285,0.09333617291230567,0.14228679239749908
Random Forest,full features,Far East,2023,2267,333,0.14689016321129245,0.2250384024577573,0.8798798798798799,0.3584097859327217,0.0009483694122903284,0.36372711380984246,0.04787377361794471,0.7950830872237283,0.12605700757699093,0.14228679239749908
Random Forest,full features,Far East,2024,2229,298,0.13369223867205024,0.21693121693121692,0.9630872483221476,0.3541024059222702,0.004817029007522957,0.3413670839649015,0.013335819199338511,0.8061963234961891,0.12974904147941763,0.14228679239749908
Random Forest,full features,Far East,2025,1744,137,0.07855504587155963,0.19599427753934193,1.0,0.3277511961722488,0.008162235580342693,0.4995799047914057,0.05352729838034172,0.9281110470160202,0.07045424838369668,0.14228679239749908
Random Forest,full features,Global,2021,87238,24772,0.28395882528256033,0.4324664806982813,0.9700468270628129,0.5982299563090482,0.0006464862144740024,0.6308621977354497,0.0037597497293814118,0.8390364842892424,0.1447387642897224,0.14228679239749908
Random Forest,full features,Global,2021-2023,206438,36593,0.17725903176740718,0.3196477973548037,0.9504003497936764,0.47839663259831905,0.003843425727824819,0.5198908112022544,0.005129122926583825,0.8559952465641798,0.11330331498337799,0.14228679239749908
Random Forest,full features,Global,2021-2025,321173,49514,0.15416613476226207,0.2883721516911686,0.9234559922446177,0.43949959869853367,0.0018844488280163082,0.46415168749338614,0.0022198118105815684,0.8474137431890454,0.10800166629234685,0.14228679239749908
Random Forest,full features,Global,2022,58312,4923,0.08442516120181094,0.18820587622421336,0.9173268332317692,0.3123314198768933,0.002090820886062157,0.2812119272721224,0.006632686331808146,0.8448258246390734,0.08284972083458088,0.14228679239749908
Random Forest,full features,Global,2023,60888,6898,0.11328997503613192,0.21312540610786224,0.9034502754421572,0.3448905614433161,0.0010646259648860327,0.3823988311085467,0.005147610588937145,0.8396938446500971,0.09742899254575134,0.14228679239749908
Random Forest,full features,Global,2024,65063,9134,0.1403870095138558,0.24682413656212782,0.8168381869936501,0.3790965906203953,0.00438690622943002,0.29503429397356773,0.007396629544966079,0.7758673604613107,0.11805357738642222,0.14228679239749908
Random Forest,full features,Global,2025,49672,3787,0.07624013528748591,0.17844342037890426,0.9202534988117244,0.2989235321868165,0.0016095476852267237,0.40005150151269786,0.0011123780331168025,0.888188332854386,0.07280136745209653,0.14228679239749908
