Year,Model,F1,F1 Error,PR-AUC,PR-AUC Error
2022,Spatial climate TSN-MLP (global full),0.5336,0.004056,0.572,0.0056
2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.5247,0.002753,0.5484,0.0088
2022,TemporalConvNet / TSN-MLP (global full),0.2628,0.001156,0.2614,0.0043
2022,Weather-only CatBoost,0.2242,0.001772,0.1367,0.0009
2023,CatBoost,0.4451,0.002814,0.4249,0.0072
2023,CatBoost deployment-weighted,0.252,0.001019,0.2116,0.0021
2023,FT-Transformer (global full),0.3643,0.001987,0.2976,0.0031
2023,FWI-only CatBoost,0.2583,0.000916,0.1782,0.003
2023,LSTM attention (global full),0.3847,0.003125,0.3225,0.0037
2023,LSTM embedding fusion (global full),0.407,0.002022,0.2895,0.0034
2023,LSTM gated MoE (global full),0.4012,0.000792,0.3767,0.0035
2023,LSTM static concat (global full),0.4232,0.003194,0.3532,0.0058
2023,Logistic Regression (linear SGD),0.3244,0.000252,0.194,0.0002
2023,Minimal MLP (global full),0.4252,0.001885,0.3783,0.0047
2023,Poisson Point-Process GLM,0.365,0.001412,0.3679,0.0065
2023,Random Forest,0.3796,0.001634,0.39,0.006
2023,Spatial climate TSN embedding fusion (global full),0.5732,0.003861,0.5996,0.007
2023,Spatial climate TSN-MLP (ECMWF global full),0.3803,0.000663,0.3976,0.0072
2023,Spatial climate TSN-MLP (global full),0.5732,0.00104,0.6486,0.0047
2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.5518,0.001802,0.6103,0.0044
2023,TemporalConvNet / TSN-MLP (global full),0.3217,0.001586,0.3468,0.0082
2023,Weather-only CatBoost,0.3387,0.001902,0.2354,0.0017
2024,CatBoost,0.473,0.003252,0.4396,0.0078
2024,CatBoost deployment-weighted,0.3083,0.001421,0.2009,0.0027
2024,FT-Transformer (global full),0.3474,0.004295,0.2982,0.005
2024,FWI-only CatBoost,0.3105,0.000989,0.2495,0.0032
2024,LSTM attention (global full),0.3886,0.002745,0.3294,0.0038
2024,LSTM embedding fusion (global full),0.3989,0.004354,0.3197,0.0044
2024,LSTM gated MoE (global full),0.4009,0.002511,0.3469,0.0047
2024,LSTM static concat (global full),0.4118,0.003792,0.3436,0.0043
2024,Logistic Regression (linear SGD),0.3583,0.001407,0.2209,0.001
2024,Minimal MLP (global full),0.4319,0.001007,0.3563,0.0041
2024,Poisson Point-Process GLM,0.4066,0.003268,0.3458,0.005
2024,Random Forest,0.4086,0.001736,0.3281,0.0022
2024,Spatial climate TSN embedding fusion (global full),0.6108,0.002861,0.6418,0.0027
2024,Spatial climate TSN-MLP (ECMWF global full),0.3801,0.000794,0.3365,0.0025
2024,Spatial climate TSN-MLP (global full),0.6137,0.005154,0.6382,0.005
2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.6184,0.002526,0.6369,0.0058
2024,TemporalConvNet / TSN-MLP (global full),0.341,0.001894,0.3201,0.0063
2024,Weather-only CatBoost,0.3682,0.00292,0.2858,0.0025
2025,CatBoost,0.4181,0.002854,0.4568,0.0079
2025,CatBoost deployment-weighted,0.1649,0.00047,0.1528,0.0044
2025,FT-Transformer (global full),0.297,0.001161,0.2697,0.0059
2025,FWI-only CatBoost,0.1858,0.000529,0.1911,0.0027
2025,LSTM attention (global full),0.3223,0.002555,0.3307,0.0051
2025,LSTM embedding fusion (global full),0.3239,0.00286,0.2298,0.0019
2025,LSTM gated MoE (global full),0.3279,0.002773,0.3529,0.0096
2025,LSTM static concat (global full),0.374,0.00468,0.3504,0.009
2025,Logistic Regression (linear SGD),0.2318,0.001366,0.1308,0.0009
2025,Minimal MLP (global full),0.3554,0.004127,0.3543,0.0103
2025,Poisson Point-Process GLM,0.2888,0.001535,0.2233,0.0031
2025,Random Forest,0.3524,0.002007,0.4409,0.0064
2025,Spatial climate TSN embedding fusion (global full),0.0573,0.003931,0.1801,0.0034
2025,Spatial climate TSN-MLP (ECMWF global full),0.3157,0.001551,0.3094,0.0013
2025,Spatial climate TSN-MLP (global full),0.0434,0.005137,0.0868,0.0017
2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.0408,0.004453,0.0778,0.0014
2025,TemporalConvNet / TSN-MLP (global full),0.2451,0.002042,0.4086,0.0041
2025,Weather-only CatBoost,0.2504,0.002044,0.1819,0.0038
