Region,Year,Model,F1,F1 Error,PR-AUC,PR-AUC Error
Central Asia,2024,TemporalConvNet / TSN-MLP (global full),0.0673,0.0006,0.286,0.0252
Central Asia,2024,Weather-only CatBoost,0.05,0.0033,0.0575,0.0103
Central Asia,2025,CatBoost,0.12,0.0022,0.0864,0.0041
Central Asia,2025,FT-Transformer (global full),0.1552,0.0022,0.1695,0.0181
Central Asia,2025,FWI-only CatBoost,0.0855,0.0013,0.0618,0.0082
Central Asia,2025,LSTM attention (global full),0.1557,0.0058,0.153,0.0118
Central Asia,2025,LSTM gated MoE (global full),0.1674,0.0016,0.1853,0.0061
Central Asia,2025,LSTM static concat (global full),0.1826,0.0101,0.1818,0.0255
Central Asia,2025,Logistic Regression (linear SGD),0.1117,0.0018,0.0591,0.0011
Central Asia,2025,Minimal MLP (global full),0.1841,0.0071,0.1808,0.0114
Central Asia,2025,Poisson Point-Process GLM,0.1171,0.006,0.0607,0.006
Central Asia,2025,Random Forest,0.1667,0.006,0.1603,0.0194
Central Asia,2025,Spatial climate TSN-MLP (ECMWF global full),0.1427,0.0041,0.1814,0.0189
Central Asia,2025,Spatial climate TSN-MLP (global full),0.136,0.0218,0.1377,0.016
Central Asia,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.1462,0.032,0.156,0.0204
Central Asia,2025,TemporalConvNet / TSN-MLP (global full),0.1167,0.0015,0.1936,0.0151
Central Asia,2025,Weather-only CatBoost,0.0987,0.0033,0.0499,0.0025
Eastern Siberia,2021,CatBoost,0.7451,0.0008,0.733,0.0036
Eastern Siberia,2021,FT-Transformer (global full),0.6377,0.0014,0.5849,0.0021
Eastern Siberia,2021,FWI-only CatBoost,0.6649,0.0009,0.5752,0.0013
Eastern Siberia,2021,LSTM attention (global full),0.7113,0.0012,0.6686,0.0039
Eastern Siberia,2021,LSTM gated MoE (global full),0.7202,0.0012,0.6918,0.0037
Eastern Siberia,2021,LSTM static concat (global full),0.7264,0.0019,0.6432,0.0014
Eastern Siberia,2021,Logistic Regression (linear SGD),0.6827,0.0012,0.5193,0.0013
Eastern Siberia,2021,Minimal MLP (global full),0.7227,0.0011,0.6733,0.0034
Eastern Siberia,2021,Poisson Point-Process GLM,0.7149,0.0011,0.6716,0.003
Eastern Siberia,2021,Random Forest,0.7352,0.0013,0.7243,0.0042
Eastern Siberia,2021,Spatial climate TSN-MLP (ECMWF global full),0.702,0.0016,0.701,0.0036
Eastern Siberia,2021,Spatial climate TSN-MLP (global full),0.8128,0.0009,0.8374,0.0018
