Region,Period,Feature Set,F1,PR-AUC,PR-AUC Error
Europe,2021-2023,full minus periodic seasonality encodings,0.4047,0.3446,0.0042
Europe,2021-2023,full minus prior-fire/proximity features,0.317,0.2644,0.0058
Europe,2021-2023,full minus roads/population/night lights,0.1639,0.1615,0.0022
Europe,2021-2023,full minus topography,0.4523,0.3534,0.0042
Europe,2021-2023,meteorology plus fire-weather variables,0.2151,0.1641,0.0037
Europe,2021-2023,meteorology/history features only,0.2154,0.1382,0.0034
Europe,2021-2023,static non-weather features,0.3807,0.385,0.0129
Europe,2021-2025,all features,0.3411,0.2782,0.0056
Europe,2021-2025,fire-weather variables only,0.145,0.1128,0.0025
Europe,2021-2025,full minus >30-day weather-history windows,0.3719,0.3029,0.0066
Europe,2021-2025,full minus Gaussian road/light/population rasters,0.3453,0.2742,0.0057
Europe,2021-2025,full minus direct geography/location variables,0.3411,0.2782,0.0056
Europe,2021-2025,full minus ecological/fuel variables,0.3904,0.273,0.0053
Europe,2021-2025,full minus ecoregion categorical variables,0.3411,0.2782,0.0056
Europe,2021-2025,full minus lagged meteorology,0.2961,0.2336,0.0071
Europe,2021-2025,full minus month/day-of-year features,0.3488,0.276,0.0055
Europe,2021-2025,full minus periodic seasonality encodings,0.3411,0.2782,0.0056
Europe,2021-2025,full minus prior-fire/proximity features,0.2554,0.2125,0.0019
Europe,2021-2025,full minus roads/population/night lights,0.1932,0.1672,0.0037
Europe,2021-2025,full minus topography,0.3911,0.2826,0.0048
Europe,2021-2025,meteorology plus fire-weather variables,0.216,0.1528,0.0017
Europe,2021-2025,meteorology/history features only,0.2153,0.1371,0.0022
Europe,2021-2025,static non-weather features,0.3153,0.3111,0.0107
Far East,2021-2023,all features,0.5089,0.4998,0.0114
Far East,2021-2023,fire-weather variables only,0.3141,0.3188,0.0127
Far East,2021-2023,full minus >30-day weather-history windows,0.5458,0.531,0.0113
Far East,2021-2023,full minus Gaussian road/light/population rasters,0.5088,0.4986,0.0145
Far East,2021-2023,full minus direct geography/location variables,0.5089,0.4998,0.0114
Far East,2021-2023,full minus ecological/fuel variables,0.5624,0.4927,0.0117
Far East,2021-2023,full minus ecoregion categorical variables,0.5089,0.4998,0.0114
Far East,2021-2023,full minus lagged meteorology,0.5025,0.4383,0.0091
Far East,2021-2023,full minus month/day-of-year features,0.5132,0.4954,0.0124
Far East,2021-2023,full minus periodic seasonality encodings,0.5089,0.4998,0.0114
Far East,2021-2023,full minus prior-fire/proximity features,0.4231,0.4173,0.0107
Far East,2021-2023,full minus roads/population/night lights,0.4271,0.3523,0.0101
Far East,2021-2023,full minus topography,0.5652,0.5092,0.0117
Far East,2021-2023,meteorology plus fire-weather variables,0.3554,0.3184,0.0041
Far East,2021-2023,meteorology/history features only,0.3317,0.2971,0.0072
Far East,2021-2023,static non-weather features,0.4157,0.4194,0.0091
Far East,2021-2025,all features,0.433,0.4176,0.0106
Far East,2021-2025,fire-weather variables only,0.3084,0.3066,0.016
Far East,2021-2025,full minus >30-day weather-history windows,0.4746,0.4557,0.0109
Far East,2021-2025,full minus Gaussian road/light/population rasters,0.4351,0.4204,0.0099
Far East,2021-2025,full minus direct geography/location variables,0.433,0.4176,0.0106
Far East,2021-2025,full minus ecological/fuel variables,0.4814,0.4164,0.0093
Far East,2021-2025,full minus ecoregion categorical variables,0.433,0.4176,0.0106
Far East,2021-2025,full minus lagged meteorology,0.4511,0.3794,0.0116
Far East,2021-2025,full minus month/day-of-year features,0.4337,0.4168,0.0091
Far East,2021-2025,full minus periodic seasonality encodings,0.433,0.4176,0.0106
Far East,2021-2025,full minus prior-fire/proximity features,0.3544,0.348,0.0072
Far East,2021-2025,full minus roads/population/night lights,0.3966,0.3268,0.0135
Far East,2021-2025,full minus topography,0.484,0.4301,0.0096
Far East,2021-2025,meteorology plus fire-weather variables,0.3303,0.2917,0.0064
Far East,2021-2025,meteorology/history features only,0.317,0.2602,0.0084
Far East,2021-2025,static non-weather features,0.3508,0.3593,0.0154
Global,2021-2023,all features,0.5919,0.6338,0.0046
Global,2021-2023,fire-weather variables only,0.3859,0.3573,0.005
Global,2021-2023,full minus >30-day weather-history windows,0.6306,0.6398,0.0044
Global,2021-2023,full minus Gaussian road/light/population rasters,0.5911,0.6304,0.0048
Global,2021-2023,full minus direct geography/location variables,0.5919,0.6338,0.0046
Global,2021-2023,full minus ecological/fuel variables,0.639,0.6397,0.0051
Global,2021-2023,full minus ecoregion categorical variables,0.5919,0.6338,0.0046
Global,2021-2023,full minus lagged meteorology,0.5606,0.5259,0.0035
Global,2021-2023,full minus month/day-of-year features,0.5948,0.6337,0.0046
Global,2021-2023,full minus periodic seasonality encodings,0.5919,0.6338,0.0046
Global,2021-2023,full minus prior-fire/proximity features,0.5313,0.4343,0.002
Global,2021-2023,full minus roads/population/night lights,0.5532,0.5609,0.004
Global,2021-2023,full minus topography,0.6441,0.6521,0.0055
Global,2021-2023,meteorology plus fire-weather variables,0.449,0.5152,0.0048
Global,2021-2023,meteorology/history features only,0.4438,0.5276,0.0039
Global,2021-2023,static non-weather features,0.5854,0.5794,0.0047
Global,2021-2025,all features,0.507,0.5815,0.008
Global,2021-2025,fire-weather variables only,0.3453,0.3106,0.004
Global,2021-2025,full minus >30-day weather-history windows,0.5478,0.5833,0.0062
Global,2021-2025,full minus Gaussian road/light/population rasters,0.5051,0.5789,0.0079
Global,2021-2025,full minus direct geography/location variables,0.507,0.5815,0.008
Global,2021-2025,full minus ecological/fuel variables,0.5709,0.5885,0.0072
Global,2021-2025,full minus ecoregion categorical variables,0.507,0.5815,0.008
Global,2021-2025,full minus lagged meteorology,0.4644,0.4471,0.0058
Global,2021-2025,full minus month/day-of-year features,0.5103,0.5818,0.0081
Global,2021-2025,full minus periodic seasonality encodings,0.507,0.5815,0.008
Global,2021-2025,full minus prior-fire/proximity features,0.4294,0.3447,0.0043
Global,2021-2025,full minus roads/population/night lights,0.5245,0.5278,0.0053
Global,2021-2025,full minus topography,0.5748,0.6009,0.0065
Global,2021-2025,meteorology plus fire-weather variables,0.4159,0.4822,0.0046
Global,2021-2025,meteorology/history features only,0.4108,0.4912,0.0052
Global,2021-2025,static non-weather features,0.4929,0.5042,0.0059
