Region,Year,Feature Set,F1,PR-AUC,PR-AUC Error
Eastern Siberia,2023,full minus ecoregion categorical variables,0.3066,0.4215,0.0162
Eastern Siberia,2023,full minus lagged meteorology,0.2704,0.3346,0.014
Eastern Siberia,2023,full minus month/day-of-year features,0.3081,0.4177,0.0157
Eastern Siberia,2023,full minus periodic seasonality encodings,0.3066,0.4215,0.0162
Eastern Siberia,2023,full minus prior-fire/proximity features,0.2599,0.2197,0.0056
Eastern Siberia,2023,full minus roads/population/night lights,0.289,0.3281,0.0141
Eastern Siberia,2023,full minus topography,0.3777,0.432,0.0161
Eastern Siberia,2023,meteorology plus fire-weather variables,0.199,0.1777,0.0055
Eastern Siberia,2023,meteorology/history features only,0.1939,0.1932,0.0061
Eastern Siberia,2023,static non-weather features,0.3059,0.3525,0.0219
Eastern Siberia,2024,all features,0.4767,0.4796,0.0018
Eastern Siberia,2024,fire-weather variables only,0.4388,0.3374,0.0032
Eastern Siberia,2024,full minus >30-day weather-history windows,0.4969,0.4711,0.0037
Eastern Siberia,2024,full minus Gaussian road/light/population rasters,0.4736,0.4784,0.0023
Eastern Siberia,2024,full minus direct geography/location variables,0.4767,0.4796,0.0018
Eastern Siberia,2024,full minus ecological/fuel variables,0.5127,0.4872,0.0031
Eastern Siberia,2024,full minus ecoregion categorical variables,0.4767,0.4796,0.0018
Eastern Siberia,2024,full minus lagged meteorology,0.4547,0.3967,0.0051
Eastern Siberia,2024,full minus month/day-of-year features,0.4784,0.4791,0.0023
Eastern Siberia,2024,full minus periodic seasonality encodings,0.4767,0.4796,0.0018
Eastern Siberia,2024,full minus prior-fire/proximity features,0.4365,0.3041,0.003
Eastern Siberia,2024,full minus roads/population/night lights,0.5128,0.4793,0.0035
Eastern Siberia,2024,full minus topography,0.5121,0.4912,0.0022
Eastern Siberia,2024,meteorology plus fire-weather variables,0.47,0.416,0.002
Eastern Siberia,2024,meteorology/history features only,0.4669,0.411,0.002
Eastern Siberia,2024,static non-weather features,0.462,0.4225,0.0031
Eastern Siberia,2025,all features,0.3528,0.5389,0.0039
Eastern Siberia,2025,fire-weather variables only,0.291,0.2309,0.0046
Eastern Siberia,2025,full minus >30-day weather-history windows,0.4128,0.5322,0.0057
Eastern Siberia,2025,full minus Gaussian road/light/population rasters,0.3469,0.5339,0.0026
Eastern Siberia,2025,full minus direct geography/location variables,0.3528,0.5389,0.0039
Eastern Siberia,2025,full minus ecological/fuel variables,0.4803,0.555,0.0036
Eastern Siberia,2025,full minus ecoregion categorical variables,0.3528,0.5389,0.0039
Eastern Siberia,2025,full minus lagged meteorology,0.3216,0.4363,0.0042
Eastern Siberia,2025,full minus month/day-of-year features,0.3527,0.5415,0.0018
Eastern Siberia,2025,full minus periodic seasonality encodings,0.3528,0.5389,0.0039
Eastern Siberia,2025,full minus prior-fire/proximity features,0.2668,0.3389,0.0048
Eastern Siberia,2025,full minus roads/population/night lights,0.4938,0.5253,0.0058
Eastern Siberia,2025,full minus topography,0.4779,0.5711,0.0037
Eastern Siberia,2025,meteorology plus fire-weather variables,0.3516,0.5054,0.0063
Eastern Siberia,2025,meteorology/history features only,0.3518,0.4172,0.0137
Eastern Siberia,2025,static non-weather features,0.3506,0.5052,0.0067
Europe,2021,all features,0.4671,0.4234,0.0212
