Experiment,Status,Year,Region,F1,F1 Error,PR-AUC,PR-AUC Error
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Eastern Siberia,0.771,0.0016,0.7619,0.0044
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Europe,0.2212,0.0151,0.195,0.0055
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Far East,0.5406,0.0115,0.5874,0.018
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Global,0.7227,0.0022,0.7209,0.0032
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Central Asia,0.3925,0.0059,0.3927,0.0089
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Eastern Siberia,0.3721,0.005,0.3602,0.013
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Europe,0.3722,0.0136,0.305,0.0108
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Far East,0.4928,0.033,0.484,0.041
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Global,0.4394,0.0029,0.3929,0.0054
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Central Asia,0.346,0.008,0.3043,0.0186
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Eastern Siberia,0.3923,0.0045,0.4228,0.0184
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Europe,0.2789,0.0185,0.3331,0.0124
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Far East,0.5452,0.015,0.4558,0.0172
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Global,0.5124,0.0048,0.5244,0.0078
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Central Asia,0.139,0.0123,0.0935,0.0112
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Eastern Siberia,0.5011,0.0017,0.4615,0.004
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Europe,0.2716,0.007,0.1729,0.0115
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Far East,0.4158,0.0109,0.3355,0.0222
ERA5 + SEAS5/ECMWF -> SEAS5/ECMWF (no tp),completed_available_domain,2024,Global,0.4447,0.0024,0.3954,0.0054
ERA5 -> ERA5 (no tp),completed_available_domain,2021,Central Asia,0.5008,0.0138,0.5378,0.0209
ERA5 -> ERA5 (no tp),completed_available_domain,2021,Eastern Siberia,0.8171,0.0022,0.8487,0.0027
ERA5 -> ERA5 (no tp),completed_available_domain,2021,Europe,0.432,0.0066,0.3731,0.0111
ERA5 -> ERA5 (no tp),completed_available_domain,2021,Far East,0.6356,0.013,0.6846,0.0244
ERA5 -> ERA5 (no tp),completed_available_domain,2021,Global,0.7777,0.0022,0.8173,0.0022
ERA5 -> ERA5 (no tp),completed_available_domain,2022,Central Asia,0.4639,0.0128,0.5252,0.0163
ERA5 -> ERA5 (no tp),completed_available_domain,2022,Eastern Siberia,0.584,0.0053,0.6404,0.0123
ERA5 -> ERA5 (no tp),completed_available_domain,2022,Europe,0.521,0.0146,0.41,0.0165
ERA5 -> ERA5 (no tp),completed_available_domain,2022,Far East,0.5817,0.0355,0.6796,0.0465
ERA5 -> ERA5 (no tp),completed_available_domain,2022,Global,0.6131,0.0019,0.6192,0.0051
ERA5 -> ERA5 (no tp),completed_available_domain,2023,Central Asia,0.3562,0.0066,0.2952,0.0109
ERA5 -> ERA5 (no tp),completed_available_domain,2023,Eastern Siberia,0.5468,0.0032,0.6142,0.0097
ERA5 -> ERA5 (no tp),completed_available_domain,2023,Europe,0.5436,0.0212,0.4898,0.0278
ERA5 -> ERA5 (no tp),completed_available_domain,2023,Far East,0.6739,0.0138,0.6566,0.0444
ERA5 -> ERA5 (no tp),completed_available_domain,2023,Global,0.631,0.0048,0.6705,0.0046
ERA5 -> ERA5 (no tp),completed_available_domain,2024,Central Asia,0.1605,0.007,0.1201,0.0178
ERA5 -> ERA5 (no tp),completed_available_domain,2024,Eastern Siberia,0.6242,0.0024,0.6327,0.0021
ERA5 -> ERA5 (no tp),completed_available_domain,2024,Europe,0.2922,0.012,0.2377,0.0137
ERA5 -> ERA5 (no tp),completed_available_domain,2024,Far East,0.5745,0.0164,0.4918,0.0278
ERA5 -> ERA5 (no tp),completed_available_domain,2024,Global,0.5741,0.0034,0.5732,0.0065
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Central Asia,0.2487,0.0177,0.3115,0.0116
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Eastern Siberia,0.6573,0.0012,0.765,0.0027
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Europe,0.0679,0.0079,0.1975,0.0027
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Far East,0.6309,0.0069,0.655,0.0154
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2021,Global,0.6156,0.0031,0.7197,0.0044
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Central Asia,0.3862,0.0302,0.465,0.0167
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Eastern Siberia,0.3413,0.0092,0.3408,0.0077
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Europe,0.1199,0.0055,0.3148,0.0114
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Far East,0.533,0.0463,0.4358,0.0505
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2022,Global,0.3635,0.0087,0.4172,0.0066
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Central Asia,0.1872,0.0254,0.3072,0.0208
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Eastern Siberia,0.5125,0.0144,0.4912,0.017
ERA5 -> SEAS5/ECMWF (no tp),completed_available_domain,2023,Europe,0.0525,0.0223,0.3165,0.0092
