region_display,model_name,period_start,period_end,observed_positive_locations,average_precision,spatial_tolerant_average_precision,spatial_tolerant_weighted_brier_score
Central Asia,Spatial climate TSN-MLP (global full),2024-03-10,2024-03-12,1,1.0,1.0,0.0285
Central Asia,Spatial climate TSN-MLP (global full),2024-03-09,2024-03-11,2,1.0,1.0,0.0238
Central Asia,Spatial climate TSN-MLP (global full),2021-11-05,2021-11-07,2,1.0,1.0,0.0857
Central Asia,Spatial climate TSN-MLP (global full),2021-12-13,2021-12-15,3,1.0,1.0,0.0276
Central Asia,Spatial climate TSN-MLP (global full),2021-12-12,2021-12-14,3,1.0,1.0,0.03
Central Asia,Spatial climate TSN-MLP (global full),2021-10-16,2021-10-18,1,1.0,1.0,0.1143
Eastern Siberia,Spatial climate TSN-MLP (global full),2022-09-08,2022-09-10,7,1.0,1.0,0.0249
Central Asia,Spatial climate TSN-MLP (global full),2021-10-06,2021-10-08,1,1.0,1.0,0.0345
Central Asia,Spatial climate TSN-MLP (global full),2022-02-15,2022-02-17,1,1.0,1.0,0.0172
Central Asia,Spatial climate TSN-MLP (global full),2023-10-21,2023-10-23,2,1.0,1.0,0.0247
Central Asia,Spatial climate TSN-MLP (global full),2021-12-11,2021-12-13,3,1.0,1.0,0.0406
Europe,Spatial climate TSN-MLP (global full),2021-01-03,2021-01-05,1,1.0,1.0,0.012
Central Asia,Spatial climate TSN-MLP (global full),2024-07-25,2024-07-27,1,1.0,1.0,0.0551
Central Asia,Spatial climate TSN-MLP (global full),2024-04-10,2024-04-12,2,1.0,1.0,0.0332
Central Asia,Spatial climate TSN-MLP (global full),2024-04-09,2024-04-11,2,1.0,1.0,0.027
Central Asia,Spatial climate TSN-MLP (global full),2024-04-08,2024-04-10,4,1.0,1.0,0.0331
Central Asia,Spatial climate TSN-MLP (global full),2024-04-07,2024-04-09,2,1.0,1.0,0.0287
Central Asia,Spatial climate TSN-MLP (global full),2025-02-14,2025-02-16,2,1.0,1.0,0.031
Central Asia,Spatial climate TSN-MLP (global full),2025-02-13,2025-02-15,2,1.0,1.0,0.0451
Central Asia,Spatial climate TSN-MLP (global full),2025-02-12,2025-02-14,1,1.0,1.0,0.0523
Global,Spatial climate TSN-MLP (global full),2022-01-15,2022-01-17,2,1.0,1.0,0.0069
Central Asia,Spatial climate TSN-MLP (global full),2024-04-28,2024-04-30,1,1.0,1.0,0.0975
Global,Spatial climate TSN-MLP (global full),2022-02-19,2022-02-21,1,1.0,1.0,0.0165
Global,Spatial climate TSN-MLP (global full),2022-02-16,2022-02-18,1,1.0,1.0,0.0104
Global,Spatial climate TSN-MLP (global full),2022-02-05,2022-02-07,2,1.0,1.0,0.0098
Central Asia,Spatial climate TSN-MLP (global full),2023-01-01,2023-01-03,1,1.0,1.0,0.0159
