experiment_id,model,feature_set,split,region,region_display,threshold,precision,recall,f1
catboost_full,CatBoost,all features,test_2022,global,Global,0.4920829446562272,0.2345258375922771,0.5872435506804794,0.33518840579710146
catboost_full,CatBoost,all features,test_2022,eastern_siberia,Eastern Siberia,0.4920829446562272,0.17444101773323054,0.6215659340659341,0.2724262492474413
catboost_full,CatBoost,all features,test_2022,far_east,Far East,0.4920829446562272,0.25675675675675674,0.59375,0.3584905660377358
catboost_full,CatBoost,all features,test_2022,central_asia,Central Asia,0.4920829446562272,0.15866666666666668,0.5114613180515759,0.24219810040705564
catboost_full,CatBoost,all features,test_2022,europe,Europe,0.4920829446562272,0.15855354659248957,0.29842931937172773,0.20708446866485014
catboost_full,CatBoost,all features,test_2023,global,Global,0.4920829446562272,0.29749973057441537,0.8003769208466223,0.43376807039597737
catboost_full,CatBoost,all features,test_2023,eastern_siberia,Eastern Siberia,0.4920829446562272,0.16270566727605118,0.8317757009345794,0.27217125382262997
catboost_full,CatBoost,all features,test_2023,far_east,Far East,0.4920829446562272,0.36363636363636365,0.7687687687687688,0.49373191899710706
catboost_full,CatBoost,all features,test_2023,central_asia,Central Asia,0.4920829446562272,0.12931034482758622,0.8029197080291971,0.22274721565980427
catboost_full,CatBoost,all features,test_2023,europe,Europe,0.4920829446562272,0.22280471821756226,0.3441295546558704,0.27048528241845665
catboost_full,CatBoost,all features,test_2024,global,Global,0.4920829446562272,0.3396457832507482,0.7579373768338078,0.46908561168140395
catboost_full,CatBoost,all features,test_2024,eastern_siberia,Eastern Siberia,0.4920829446562272,0.3724354850239474,0.8418161253837454,0.5164040043611855
catboost_full,CatBoost,all features,test_2024,far_east,Far East,0.4920829446562272,0.24935400516795866,0.6476510067114094,0.36007462686567165
catboost_full,CatBoost,all features,test_2024,central_asia,Central Asia,0.4920829446562272,0.05993930197268589,0.42245989304812837,0.10498338870431893
catboost_full,CatBoost,all features,test_2024,europe,Europe,0.4920829446562272,0.17659574468085107,0.3367139959432049,0.2316817864619679
catboost_full,CatBoost,all features,test_2025,global,Global,0.4920829446562272,0.27078409207686777,0.695801425930816,0.3898505696108892
catboost_full,CatBoost,all features,test_2025,eastern_siberia,Eastern Siberia,0.4920829446562272,0.34100555011426703,0.8554463554463555,0.4876283846872082
catboost_full,CatBoost,all features,test_2025,far_east,Far East,0.4920829446562272,0.3080168776371308,0.5328467153284672,0.39037433155080214
catboost_full,CatBoost,all features,test_2025,central_asia,Central Asia,0.4920829446562272,0.08290816326530612,0.4276315789473684,0.1388888888888889
catboost_full,CatBoost,all features,test_2025,europe,Europe,0.4920829446562272,0.2549234135667396,0.3686708860759494,0.3014230271668823
catboost_full,CatBoost,all features,test_2021-2023,global,Global,0.4920829446562272,0.4145054242076925,0.8499439783565162,0.557248694312308
catboost_full,CatBoost,all features,test_2021-2023,eastern_siberia,Eastern Siberia,0.4920829446562272,0.47091284847418874,0.946236084113801,0.6288608338226659
catboost_full,CatBoost,all features,test_2021-2023,far_east,Far East,0.4920829446562272,0.3265421618562535,0.7257861635220125,0.45042935206869633
catboost_full,CatBoost,all features,test_2021-2023,central_asia,Central Asia,0.4920829446562272,0.15593342981186686,0.6426441351888668,0.2509704968944099
catboost_full,CatBoost,all features,test_2021-2023,europe,Europe,0.4920829446562272,0.23759280969128566,0.3528728961114335,0.28397944885567494
catboost_full,CatBoost,all features,test_2021-2025,global,Global,0.4920829446562272,0.3866930421881538,0.8211818879508825,0.5257917264745057
catboost_full,CatBoost,all features,test_2021-2025,eastern_siberia,Eastern Siberia,0.4920829446562272,0.43778106373572767,0.9184763488662168,0.5929428282369459
catboost_full,CatBoost,all features,test_2021-2025,far_east,Far East,0.4920829446562272,0.30345572354211664,0.6853658536585366,0.42065868263473055
catboost_full,CatBoost,all features,test_2021-2025,central_asia,Central Asia,0.4920829446562272,0.1343710860619073,0.600079904115062,0.2195745925005482
catboost_full,CatBoost,all features,test_2021-2025,europe,Europe,0.4920829446562272,0.22818944029005211,0.3535814606741573,0.2773722627737226
catboost_deployment_weighted,CatBoost deployment-weighted,all features,validation,global,Global,0.4627082306595781,0.2458606218288027,0.8556164573648789,0.38196417924316456
catboost_deployment_weighted,CatBoost deployment-weighted,all features,test,global,Global,0.4627082306595781,0.1954436617435242,0.8522842024477926,0.3179710134007452
