experiment_id,experiment_type,evaluation_type,is_primary,model,feature_set,split,region,region_display,support,positives,predicted_positives,positive_rate,predicted_positive_rate,threshold,precision,recall,f1,average_precision,roc_auc,brier_score,precision_error,recall_error,f1_error,average_precision_error,roc_auc_error,brier_score_error
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,validation,global,Global,147424,28826,68425,0.19553125678315605,0.46413745387453875,0.3036547601222992,0.337274388016076,0.8005966835495733,0.4746069449157335,0.3795113053913839,0.7702414371263732,0.143989571233604,0.00038121430482520945,0.0010847969028686731,0.0005680886573675947,0.0025759824463879965,0.0007811270383004368,0.00013448379415262297
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test,global,Global,321173,49514,146177,0.15416613476226207,0.4551347716028433,0.3036547601222992,0.29631200530863266,0.8747828896877651,0.4426774864454676,0.45125413572215334,0.8367300038097026,0.12369724625549353,0.0003485196926100175,0.00045871344871007997,0.0003309861995186175,0.006390832576562919,0.0009050757727591939,0.0005087498583637866
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test,eastern_siberia,Eastern Siberia,128260,31267,78246,0.24377826290347732,0.6100576953064089,0.3036547601222992,0.3776934284180661,0.9451818210893274,0.539716745957101,0.5361317396161538,0.820812220865241,0.15746261803905684,0.0022812569190991607,0.002030249166655379,0.002658255740352763,0.010435481955806828,0.005546211614833867,0.0015765528678837223
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test,far_east,Far East,10457,1230,4884,0.11762455771253706,0.4670555608683179,0.3036547601222992,0.21334971334971334,0.8471544715447155,0.3408570493948315,0.3076848461899862,0.7836978080412644,0.13006481032697786,0.0005391434305401657,0.0034493013716416984,0.0004096742499200051,0.008906325525981036,0.0032129181231317283,0.0007892154960016004
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test,central_asia,Central Asia,45961,2503,19525,0.05445921542177063,0.42481669241313286,0.3036547601222992,0.09382842509603073,0.7319216939672393,0.166333757036499,0.11655124141466192,0.7345275916955247,0.1023880421746297,6.123759681537727e-05,0.00584385769575665,0.00024862871227352524,0.009588659262004706,0.004436344969347188,0.0006685907937891214
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test,europe,Europe,52062,2848,11718,0.05470400676116938,0.22507779186354732,0.3036547601222992,0.1443079023724185,0.59375,0.2321845393381848,0.16164913677103,0.8124624789899465,0.06978635302050616,0.0005903591933157079,0.0025853995655815377,0.0005723236677605632,0.014161789652147564,0.0009867553641882576,0.0004172127344512053
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2021,global,Global,87238,24772,51881,0.28395882528256033,0.5947064352690341,0.3036547601222992,0.452092288120892,0.9468351364443727,0.611978657064955,0.6022181036456066,0.8368585127780851,0.15378669212954207,0.0013374764912030205,0.002116713379146234,0.0016670272757168523,0.0031881421242548154,0.0031662669852327843,0.0008484196263993349
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2021,eastern_siberia,Eastern Siberia,44639,19789,35173,0.4433119021483456,0.787943278299245,0.3036547601222992,0.5552554516248258,0.9869119207640609,0.7106728284996907,0.6699563432805133,0.779351816594651,0.1919228655256146,0.00025205209069725977,0.001993872042596874,0.00031127203817311747,0.0051584395939133516,0.003368827149104226,0.000659982373248871
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2021,far_east,Far East,2141,270,984,0.12610929472209248,0.459598318542737,0.3036547601222992,0.2306910569105691,0.8407407407407408,0.3620414673046252,0.44649096471518646,0.8368727359106836,0.12598346896082008,0.01222459531213441,0.013094570021973083,0.016397849919138632,0.0281041162141869,0.0144047268942946,0.006892959231913468
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2021,central_asia,Central Asia,10197,903,4971,0.08855545748749633,0.48749632244777874,0.3036547601222992,0.14142023737678536,0.778516057585825,0.2393598910452843,0.1397637570794848,0.6974153176616882,0.12520543841523077,0.0007620799659432319,0.007047575892224694,0.0014261560707371729,0.00040780365993120933,0.0006343542894168835,0.0003942821980860744
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2021,europe,Europe,11926,847,3014,0.07102129800436022,0.25272513835317795,0.3036547601222992,0.19741207697412078,0.7024793388429752,0.3082103082103082,0.2514276982424479,0.8386063468405984,0.07614019980990971,0.0020945528640226333,0.008348368136795148,0.0033585487596328165,0.0005161832963023541,0.00022892266810708626,0.00029915346377229485
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2022,global,Global,58312,4923,21511,0.08442516120181094,0.36889491013856496,0.3036547601222992,0.17642136581283993,0.7708714198659354,0.2871302110917757,0.24208656385119084,0.7993871813722824,0.10370834861671287,0.004050290072774762,0.01716481825260417,0.006554906788587145,0.0025951256739011985,0.004266346189808769,0.000229494398779481
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2022,eastern_siberia,Eastern Siberia,18946,1456,7772,0.07684999472184102,0.4102185157816953,0.3036547601222992,0.16598044261451364,0.885989010989011,0.2795838751625488,0.2209678745309035,0.8069652046067141,0.11457586347045841,0.001047277809010115,0.011655606283294775,0.002061838897345374,0.00989853644211671,0.005512394260925103,0.001173407401183635
poisson_point_process_full,main_model_comparison,legacy_sampled_case_control,False,Poisson Point-Process GLM,full features,test_2022,far_east,Far East,2076,192,958,0.09248554913294797,0.4614643545279383,0.3036547601222992,0.1837160751565762,0.9166666666666666,0.3060869565217391,0.2657282215051342,0.8037060996107571,0.12116602368196724,0.0020815509717378145,0.003682847818679961,0.003101437566677878,0.023853941916572308,0.009115243831478048,0.0038561817400989797
