model_name,model_type,bin,n_unweighted,n_weighted,prob_min,prob_max,mean_predicted_probability,observed_prevalence,expected_fire_positive_grid_cells,observed_fire_positive_grid_cells,expected_observed_count_ratio
Minimal MLP full-grid optimized,Neural,4,179373,179373.0,3.896926474111427e-06,5.058637962812641e-06,4.474743335804476e-06,0.0,0.8026481363732563,0.0,
Minimal MLP full-grid optimized,Neural,5,179372,179372.0,5.058643993152106e-06,6.293187284787331e-06,5.668737954329435e-06,0.0,1.016812864343979,0.0,
Minimal MLP full-grid optimized,Neural,6,179372,179372.0,6.293205289653024e-06,7.615491413585769e-06,6.944338416841533e-06,5.575006132506746e-06,1.2456198705056996,1.0,1.2456198705056996
Minimal MLP full-grid optimized,Neural,7,179372,179372.0,7.615493229246801e-06,9.075000825422694e-06,8.33105681997607e-06,5.575006132506746e-06,1.4943583239127478,1.0,1.4943583239127478
Minimal MLP full-grid optimized,Neural,8,179372,179372.0,9.075001907237342e-06,1.0733988708660498e-05,9.886879235504065e-06,0.0,1.7734293022308347,0.0,
Minimal MLP full-grid optimized,Neural,9,179373,179373.0,1.073399382697145e-05,1.2672247485872272e-05,1.1674894679762911e-05,0.0,2.094160883393113,0.0,
Minimal MLP full-grid optimized,Neural,10,179372,179372.0,1.2672261081553854e-05,1.5001969823693002e-05,1.380249223024032e-05,5.575006132506746e-06,2.475780636322667,1.0,2.475780636322667
Minimal MLP full-grid optimized,Neural,11,179372,179372.0,1.5001989495526586e-05,1.7756299200184845e-05,1.6340267735712255e-05,7.247507972258769e-05,2.9309865042901784,13.0,0.2254605003300137
Minimal MLP full-grid optimized,Neural,12,179372,179372.0,1.7756322483660615e-05,2.096720311378857e-05,1.9319896988194688e-05,0.0001059251165176,3.4654485625664573,19.0,0.1823920296087609
Minimal MLP full-grid optimized,Neural,13,179372,179372.0,2.096720811265512e-05,2.4688135211390876e-05,2.2786077007780806e-05,0.0001282251410476,4.087184205039659,23.0,0.1777036610886808
Minimal MLP full-grid optimized,Neural,14,179373,179373.0,2.468814256884797e-05,2.8932867254271527e-05,2.676119831405933e-05,0.0001170744760917,4.800236425187764,21.0,0.228582686913703
Minimal MLP full-grid optimized,Neural,15,179372,179372.0,2.893291898881916e-05,3.388759705101308e-05,3.133801031274191e-05,0.0001505251655776,5.621161585817141,27.0,0.2081911698450793
Minimal MLP full-grid optimized,Neural,16,179372,179372.0,3.388760513017298e-05,3.974397978931712e-05,3.673149945880376e-05,0.0002843253127578,6.588602520924549,51.0,0.1291882847240107
Minimal MLP full-grid optimized,Neural,17,179372,179372.0,3.974402005947552e-05,4.6965026148010645e-05,4.319614962104242e-05,0.000418125459938,7.748179749825621,75.0,0.1033090633310082
Minimal MLP full-grid optimized,Neural,18,179372,179372.0,4.6965048541633815e-05,5.75910253761107e-05,5.185623624442708e-05,0.0004014004415404,9.301556807635375,72.0,0.1291882889949357
Minimal MLP full-grid optimized,Neural,19,179373,179373.0,5.759108029605557e-05,0.0001871897122062,6.906004996869866e-05,0.0002954736777552,12.387508343035384,53.0,0.2337265725101016
Minimal MLP full-grid rank optimized,Neural,0,179372,179372.0,1e-12,6.345282513789767e-09,2.400147963816331e-09,0.0,0.00043051934056566294,0.0,
Minimal MLP full-grid rank optimized,Neural,1,179372,179372.0,6.345306719167637e-09,3.5391598842878947e-08,1.7969316232606426e-08,5.575006132506746e-06,0.0032231921912750797,1.0,0.0032231921912750797
Minimal MLP full-grid rank optimized,Neural,2,179372,179372.0,3.539168322312363e-08,1.0696228048965085e-07,6.691276148448013e-08,5.575006132506746e-06,0.01200227585299417,1.0,0.01200227585299417
