Region,Year,Variant,F1,PR-AUC,PR-AUC Error
Europe,2023,LSTM gated MoE (global full),0.3412,0.3629,0.0146
Europe,2023,LSTM static concat (global full),0.4072,0.4616,0.0229
Europe,2023,Minimal MLP (global full),0.3944,0.4249,0.0343
Europe,2023,Spatial climate TSN-MLP (ECMWF global full),0.2509,0.397,0.0191
Europe,2023,Spatial climate TSN-MLP (global full),0.3772,0.4695,0.0162
Europe,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.3692,0.5055,0.027
Europe,2023,TemporalConvNet / TSN-MLP (global full),0.2213,0.4639,0.0153
Europe,2024,FT-Transformer (global full),0.247,0.2515,0.0067
Europe,2024,LSTM attention (global full),0.2885,0.2638,0.0165
Europe,2024,LSTM gated MoE (global full),0.2695,0.2515,0.0278
Europe,2024,LSTM static concat (global full),0.2855,0.2551,0.0083
Europe,2024,Minimal MLP (global full),0.2951,0.2559,0.0105
Europe,2024,Spatial climate TSN-MLP (ECMWF global full),0.2212,0.2225,0.0051
Europe,2024,Spatial climate TSN-MLP (global full),0.3092,0.2691,0.0183
Europe,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.3316,0.3281,0.0185
Europe,2024,TemporalConvNet / TSN-MLP (global full),0.191,0.2873,0.019
Europe,2025,FT-Transformer (global full),0.3013,0.2593,0.0186
Europe,2025,LSTM attention (global full),0.3357,0.2504,0.0175
Europe,2025,LSTM gated MoE (global full),0.2925,0.2447,0.0114
Europe,2025,LSTM static concat (global full),0.3354,0.2855,0.024
Europe,2025,Minimal MLP (global full),0.3385,0.2788,0.0197
Europe,2025,Spatial climate TSN-MLP (ECMWF global full),0.2966,0.2884,0.0124
Europe,2025,Spatial climate TSN-MLP (global full),0.1703,0.1486,0.012
Europe,2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.1509,0.1617,0.01
Europe,2025,TemporalConvNet / TSN-MLP (global full),0.2629,0.2764,0.0119
Far East,2021,FT-Transformer (global full),0.3559,0.521,0.019
Far East,2021,LSTM attention (global full),0.3897,0.4541,0.0204
Far East,2021,LSTM gated MoE (global full),0.4161,0.4653,0.0157
Far East,2021,LSTM static concat (global full),0.4341,0.4751,0.041
Far East,2021,Minimal MLP (global full),0.4087,0.4883,0.0159
Far East,2021,Spatial climate TSN-MLP (ECMWF global full),0.3891,0.4495,0.0149
Far East,2021,Spatial climate TSN-MLP (global full),0.6422,0.6779,0.0094
Far East,2021,Spatial climate TSN-MLP no tp (ERA5 global full),0.6263,0.6342,0.0212
Far East,2021,TemporalConvNet / TSN-MLP (global full),0.3348,0.5039,0.0218
Far East,2022,FT-Transformer (global full),0.2776,0.2978,0.0221
Far East,2022,LSTM attention (global full),0.346,0.2537,0.0282
Far East,2022,LSTM gated MoE (global full),0.3623,0.2872,0.0178
Far East,2022,LSTM static concat (global full),0.3275,0.2352,0.0202
Far East,2022,Minimal MLP (global full),0.3375,0.2744,0.0139
Far East,2022,Spatial climate TSN-MLP (ECMWF global full),0.3176,0.3091,0.0072
Far East,2022,Spatial climate TSN-MLP (global full),0.6344,0.7222,0.0209
Far East,2022,Spatial climate TSN-MLP no tp (ERA5 global full),0.642,0.7054,0.0388
Far East,2022,TemporalConvNet / TSN-MLP (global full),0.2354,0.3096,0.0391
Far East,2023,FT-Transformer (global full),0.395,0.4416,0.0132
Far East,2023,LSTM attention (global full),0.4179,0.3808,0.0123
Far East,2023,LSTM gated MoE (global full),0.4382,0.4418,0.0234
Far East,2023,LSTM static concat (global full),0.4498,0.3971,0.0181
Far East,2023,Minimal MLP (global full),0.4316,0.3869,0.0244
Far East,2023,Spatial climate TSN-MLP (ECMWF global full),0.3836,0.3621,0.0139
Far East,2023,Spatial climate TSN-MLP (global full),0.5876,0.6437,0.0362
Far East,2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.5714,0.6699,0.0429
Far East,2023,TemporalConvNet / TSN-MLP (global full),0.3247,0.4607,0.0237
Far East,2024,FT-Transformer (global full),0.376,0.4159,0.0178
Far East,2024,LSTM attention (global full),0.3931,0.3876,0.0242
Far East,2024,LSTM gated MoE (global full),0.406,0.3798,0.0139
Far East,2024,LSTM static concat (global full),0.4431,0.4004,0.0211
Far East,2024,Minimal MLP (global full),0.4216,0.3749,0.0118
Far East,2024,Spatial climate TSN-MLP (ECMWF global full),0.3689,0.4539,0.0119
Far East,2024,Spatial climate TSN-MLP (global full),0.6197,0.6642,0.0228
Far East,2024,Spatial climate TSN-MLP no tp (ERA5 global full),0.6386,0.6524,0.0387
