Model,model,model_name,model_type,index,Feature set,feature_set,Region,region,region_display,split,evaluation_type,is_primary,score_transform,test_universe,test_period,available_months,available_days,support,weighted_support,positives,observed_prevalence,mean_normalized_score,average_precision,roc_auc,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,predicted_positive_grid_cells_at_max_f1,raw_score_min,raw_score_max,raw_score_mean,raw_threshold_at_max_f1,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error,period
FWI ercnfdr,FWI ercnfdr,FWI ercnfdr,Fire weather index,ercnfdr,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.0708329027986249,0.0020389523220758,0.9151602922829276,0.0072251165507715,0.0037622012754172,0.0908239700374531,0.7209302325581395,180479.44548758623,0.0,43.0,3.374418436672799,31.0,1.5040141967524186e-12,0.0001300913324685,0.0058355571752965,0.0010830827375574,2024
FWI fbupinx,FWI fbupinx,FWI fbupinx,Fire weather index,fbupinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2022,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",365,520174,103324015.11671264,3570.0,3.455150282310848e-05,0.0152100969031471,0.0004433588229523,0.9349498948618608,0.0013219951813095,0.0006626453091178,0.2658263305322129,0.1283681501665153,1432138.712735121,0.0,825.75,18.66390802047423,106.0,6.350307113923734e-13,3.7838032225423474e-05,0.0045868031721583,0.0001513083628219,2022
FWI fbupinx,FWI fbupinx,FWI fbupinx,Fire weather index,fbupinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0270047491600493,0.0005230969586206,0.9021017742585272,0.0013865948850997,0.0006944644078563,0.4125833006664053,0.1095973357553739,3031112.8636493743,0.0,825.75,18.66390802047423,90.5,1.3394159833208205e-12,2.293303858138275e-05,0.0028500255368095,8.480265550292976e-05,2023
FWI fbupinx,FWI fbupinx,FWI fbupinx,Fire weather index,fbupinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.0279151617285607,0.0012815814519226,0.937450785915384,0.0034702266144556,0.0017425957440231,0.4040930979133226,0.152891310929458,1733620.66925821,0.0,825.75,18.66390802047423,126.25,1.1856926708251882e-12,4.065397706679087e-05,0.0016483037728391,0.0001291546795734,2024
FWI fbupinx,FWI fbupinx,FWI fbupinx,Fire weather index,fbupinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2025,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2025 (available FWI dates only),"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",275,391789,77830225.04954179,2650.0,3.404846893752624e-05,0.019295442550377,0.0004444433522846,0.914302662961868,0.0014754561833158,0.0007395173754037,0.3049056603773585,0.1250378443838934,1092604.483510496,0.0,825.75,18.66390802047423,103.25,1.8179932718271713e-12,2.427665502236181e-05,0.0026524290784815,5.262777096137356e-05,2025
FWI fdimrk,FWI fdimrk,FWI fdimrk,Fire weather index,fdimrk,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.02672564817591,0.0007691010128741,0.9039018335580632,0.0021784101211989,0.0010939731741849,0.2499019992159937,0.157096317746553,1165476.4761027882,0.0,59.353515625,1.690502121511151,9.32421875,1.948473839543949e-12,2.610209819534765e-05,0.0053035848613172,0.0003771931529437,2023
FWI fdimrk,FWI fdimrk,FWI fdimrk,Fire weather index,fdimrk,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.0267349130595031,0.0010440598769044,0.9184550965202564,0.0028981230307077,0.0014534474382986,0.4802033172819689,0.1276119648557043,2469989.560958763,0.0,59.353515625,1.690502121511151,7.57421875,1.9619499431687133e-12,2.3994219154930796e-05,0.00374987744324,9.563589555731208e-05,2024
FWI fdsrte,FWI fdsrte,FWI fdsrte,Fire weather index,fdsrte,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2022,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",365,520174,103324015.11671264,3570.0,3.455150282310848e-05,0.0042448921015407,0.0005582331916523,0.9517108151462568,0.0045558305997096,0.0049751767163037,0.0042016806722689,0.6242039533537341,3014.9682826028784,8.358338316590063e-18,188.921875,1.207884581110471,117.92578125,1.2017676981884954e-12,0.0037892762430655,0.0070488314171306,0.0063127112588229,2022
FWI fdsrte,FWI fdsrte,FWI fdsrte,Fire weather index,fdsrte,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0071535060129058,0.000774492440361,0.9226356510830902,0.0022394192031974,0.0011240162637976,0.2922383379067032,0.0715821685551236,1326493.261727817,8.358338316590063e-18,188.921875,1.207884581110471,13.5234375,1.455702278737764e-12,5.529823484425353e-05,0.0040553677553141,0.0002227517707814,2023
FWI fdsrte,FWI fdsrte,FWI fdsrte,Fire weather index,fdsrte,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.0079062350203939,0.0011536352269964,0.9401804965538306,0.0030938672384689,0.0015530115840358,0.3952648475120385,0.0655032668927301,1902754.6416110408,8.358338316590063e-18,188.921875,1.207884581110471,12.375,6.352531134977873e-13,3.8923463158406335e-05,0.003349142323772,0.0001249473710378,2024
FWI fdsrte,FWI fdsrte,FWI fdsrte,Fire weather index,fdsrte,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2025,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2025 (available FWI dates only),"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",275,391789,77830225.04954179,2650.0,3.404846893752624e-05,0.0046271414601227,0.0010857759452509,0.947577885871986,0.0049109969225402,0.0131580180093283,0.0030188679245283,0.6463485236953106,607.994303878319,8.358338316590063e-18,188.921875,1.207884581110471,122.109375,1.5156621009313034e-12,0.0027393520770654,0.0039964145648562,0.0030813109539346,2025
FWI ffmcode,FWI ffmcode,FWI ffmcode,Fire weather index,ffmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2022,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",365,520174,103324015.11671264,3570.0,3.455150282310848e-05,0.6294405846649287,0.0005275008532815,0.941212294347079,0.0023838059633255,0.0016639088451292,0.0042016806722689,0.9884089156085312,9014.91691922265,1.9999998807907104,98.21484375,65.54048326254183,97.099609375,9.141091384429798e-13,3.244852242168891e-05,0.0077189382956068,0.0013842538544082,2022
FWI ffmcode,FWI ffmcode,FWI ffmcode,Fire weather index,ffmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.6774431724311425,0.0007770772117363,0.912420766353052,0.0024522710535977,0.0012514717276822,0.0605644845158761,0.9613292193244342,246909.29340630505,1.9999998807907104,98.21484375,65.54048326254183,94.494140625,1.265397315475525e-12,5.840154641579575e-05,0.0036353199576778,0.0006199964270126,2023
FWI ffmcode,FWI ffmcode,FWI ffmcode,Fire weather index,ffmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.6766390104313672,0.0012579439158595,0.931830696560584,0.0029666688206253,0.0014897128014845,0.3464419475655431,0.934757013600384,1738590.1479928968,1.9999998807907104,98.21484375,65.54048326254183,91.9375,2.1563048583513592e-12,0.000457398524157,0.0031777087735862,0.0001494001241881,2024
FWI ffmcode,FWI ffmcode,FWI ffmcode,Fire weather index,ffmcode,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2025,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2025 (available FWI dates only),"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",275,391789,77830225.04954179,2650.0,3.404846893752624e-05,0.6596924734402391,0.0012270913966702,0.9457185012312884,0.0057978165555406,0.0030564942911542,0.0562264150943396,0.9741991799272208,48748.659675635856,1.9999998807907104,98.21484375,65.54048326254183,95.732421875,2.224664882402564e-12,0.0013019802856253,0.0067705853783905,0.0036507530751645,2025
FWI fwinx,FWI fwinx,FWI fwinx,Fire weather index,fwinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2022,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",365,520174,103324015.11671264,3570.0,3.455150282310848e-05,0.020422417921573,0.0005585048881603,0.9522709066141606,0.0045558305997096,0.0049751767163037,0.0042016806722689,0.7662313678906999,3014.9682826028784,1.7214897285455775e-09,148.06640625,4.360765949785424,113.453125,7.769770056195324e-13,0.0026330460759752,0.0048206614614908,0.0040843165065289,2022
FWI fwinx,FWI fwinx,FWI fwinx,Fire weather index,fwinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0348001526305389,0.0007746963937447,0.9227521431874224,0.0022397285643421,0.0011241663437107,0.2926303410427283,0.2253000923270964,1328095.2666415982,1.7214897285455775e-09,148.06640625,4.360765949785424,33.359375,1.3281487874260742e-12,0.0012524935917142,0.0017073925426318,0.0016586386392074,2023
FWI fwinx,FWI fwinx,FWI fwinx,Fire weather index,fwinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.0347792414404034,0.0011538769977486,0.9403061203877058,0.0030954877152252,0.0015538282035212,0.3952648475120385,0.2144571956114974,1901754.642696939,1.7214897285455775e-09,148.06640625,4.360765949785424,31.75390625,1.341221680403086e-12,5.81341764798616e-05,0.0039258178980222,0.0001400813050484,2024
FWI fwinx,FWI fwinx,FWI fwinx,Fire weather index,fwinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2025,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2025 (available FWI dates only),"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",275,391789,77830225.04954179,2650.0,3.404846893752624e-05,0.024356274998591,0.0010845033292736,0.9475779224425354,0.0047200344229406,0.0054699618232827,0.0041509433962264,0.7372114496737684,2010.9829566229928,1.7214897285455775e-09,148.06640625,4.360765949785424,109.15625,7.450783914244497e-13,0.0014895746639235,0.0047208410171026,0.0025333955562239,2025
FWI icnfdr,FWI icnfdr,FWI icnfdr,Fire weather index,icnfdr,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0412316141574509,0.0010852268349217,0.8744010229245189,0.0055363236391972,0.003297356051129,0.0172481379851038,0.5915492957746479,26688.0490415549,0.0,71.0,3.1470376208624917,42.0,1.6612302030439006e-12,0.0018418596514801,0.005037848856005,0.0027663339873965,2023
FWI icnfdr,FWI icnfdr,FWI icnfdr,Fire weather index,icnfdr,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.0398113741753275,0.0014258491102468,0.8845509789830122,0.006145904285397,0.0032935467012141,0.045880149812734,0.5352112676056338,104143.05036984917,0.0,71.0,3.1470376208624917,38.0,1.161879977066758e-12,5.29222377703953e-05,0.0050975750393739,0.0006230443943036,2024
FWI infsinx,FWI infsinx,FWI infsinx,Fire weather index,infsinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2022,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2022 (available FWI dates only),"2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12",365,520174,103324015.11671264,3570.0,3.455150282310848e-05,0.0206051066602814,0.0004752790913522,0.935317081028742,0.004294939761031,0.0043924327179393,0.0042016806722689,0.6305588685971176,3414.964090112904,8.607448087616376e-09,91.703125,2.339583029250462,57.82421875,8.720483114502091e-13,0.001309445003259,0.00631693142291,0.0021880855314807,2022
FWI infsinx,FWI infsinx,FWI infsinx,Fire weather index,infsinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0285150444560259,0.0006687190261732,0.9009505573620784,0.0032111708527539,0.0024937674776827,0.0045080360642885,0.428693133359223,9222.993003891494,8.607448087616376e-09,91.703125,2.339583029250462,39.3125,1.6386325209912704e-12,4.357740188568144e-05,0.0055352567898171,0.0018135449397611,2023
FWI infsinx,FWI infsinx,FWI infsinx,Fire weather index,infsinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2024,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2024 (available FWI dates only),"2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10",245,354212,69354694.99889158,7476.0,0.0001077937117324,0.028064749554591,0.0007029816727241,0.9093297054735762,0.0017713152235124,0.0008873463950058,0.4653558052434457,0.0933932525984957,3920678.575560196,8.607448087616376e-09,91.703125,2.339583029250462,8.564453125,1.4457681501708642e-12,0.0004243159721617,0.0031989214725014,0.000603220706266,2024
FWI infsinx,FWI infsinx,FWI infsinx,Fire weather index,infsinx,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2025,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2025 (available FWI dates only),"2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10",275,391789,77830225.04954179,2650.0,3.404846893752624e-05,0.0232124898623704,0.0010482810534326,0.9451896384500412,0.0049550376787084,0.0037856426666062,0.0071698113207547,0.5707105128239077,5018.962874547617,8.607448087616376e-09,91.703125,2.339583029250462,52.33593750000001,2.217977389676243e-12,4.073087528258681e-05,0.0050947616706479,0.0018989617118946,2025
FWI kbdi,FWI kbdi,FWI kbdi,Fire weather index,kbdi,FWI GRIB index,FWI GRIB index,Global,global,Global,test_2023,fire_weather_index_full_grid_ranking,False,minmax_per_index_evaluation_rows,land_or_burnable,2023 (available FWI dates only),"2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10",245,351859,69356694.95605968,5102.0,7.356175208798988e-05,0.0209213287569226,0.0003355159742773,0.8640496744823442,0.0015158779616686,0.0011688397952615,0.0021560172481379,0.84543998492557,9411.041653949036,0.0,165.84375,3.859967268474063,140.2109375,2.763516864094684e-12,1.8464093620909857e-05,0.0038486905150084,0.0010179368991493,2023
