model_name,model_type,scale,spatial_resolution_degrees,support_units,weighted_support,positive_units,observed_prevalence,average_precision,roc_auc,max_f1,precision_at_max_f1,recall_at_max_f1,threshold_at_max_f1,weighted_brier_score,weighted_logloss,observed_fire_positive_grid_cells,expected_fire_positive_grid_cells,expected_observed_count_ratio,observed_prevalence_error,average_precision_error,roc_auc_error,max_f1_error
FWI-only CatBoost,CatBoost,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0028521461434663,0.738390102822803,0.0176513688136948,0.0103868615999686,0.0587192554841568,2.5019013798332183e-05,0.0012579420770241,0.0134753970752063,357.0,69.9999999999999,0.015510746731664,1.0275591874067016e-07,0.0003398350245295,0.0078657854640409,0.0054856267504774
FWI-only CatBoost,CatBoost,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0097408029793961,0.7348499987769843,0.034843676142886,0.0373209894401851,0.0326747720364741,2.49826931561958e-05,0.0044018215601188,0.0471232108111453,357.0,69.9999999999999,0.0044326241134751,7.318564268662722e-05,0.0061309996622827,0.0187670787999134,0.0442247259919696
Random Forest,random_forest,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.0004952894451177,0.8186534231873184,0.0067567567567567,0.0085106382978723,0.0056022408963585,0.000229243696103,9.950593874931325e-05,0.0010358198800592,357.0,70.32875697176418,0.1969993192486391,0.0,0.0013641360322846,0.0886446994916829,0.0030469570089813
Random Forest,random_forest,neighborhood_3x3_cell_day,0.3,3587444,3587444.0,1962.0,0.0005469074917963,0.0023262872429832,0.8105048277882897,0.0066750104297037,0.0183908045977011,0.0040774719673802,0.0002205231764631,0.0005468626201235,0.0056305010954681,1962.0,70.32875697176418,0.0358454418816331,0.0,0.0001061922430758,0.0013924805745604,0.0006805251216167
Random Forest,random_forest,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.00125799873113,0.0104781471198732,0.816307946723432,0.0213310580204778,0.2857142857142857,0.0110791048083314,0.0002052858982404,0.0012578934237274,0.0129010843422927,357.0,70.32875695562407,0.0155835933875114,9.49682593080984e-07,0.0006411598906507,0.0439815164932867,0.0007787771205398
Random Forest,random_forest,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.0044020199339697,0.0112309987547457,0.8060289194052701,0.0246369913284273,0.0125446216329628,0.6833839918946302,2.6288530527893084e-05,0.0044016749310276,0.0453361839692178,357.0,70.32875695562404,0.004453442056487,4.872110414601826e-05,0.0015991079233666,0.0035791055864464,0.0090539439160222
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,exact_0.1_degree_cell_day,0.1,3587444,3587444.0,357.0,9.951374850729378e-05,0.001291201654417044,0.9395800389389092,0.004120004494550358,0.0020879204312504746,0.15406162464985995,0.00026681058953012635,9.948238364510811e-05,0.0009067638852135707,357.0,121.06520705344346,0.33911822704045785,0.0,0.0017180241850972666,0.025765275392370928,0.002945238984431886
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,neighborhood_3x3_cell_day,0.30000000000000004,3587444,3587444.0,1962.0,0.0005469074917963876,0.006600036547261601,0.9366517120921358,0.017782926652668164,0.00915147630900392,0.3129459734964322,0.0002171393481292252,0.000546720578672159,0.004842555089476328,1962.0,121.06520705344346,0.06170499849818729,0.0,0.0009344805056380557,0.015831004209412237,0.004945008318443814
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,coarse_0.5_degree_cell_day,0.5,149172,3587444.0,4513.0,0.0012579987311300191,0.016731478699592055,0.948702412900102,0.041915867971271996,0.022212202787465687,0.37115001107910484,0.00019844164782304444,0.0012575687793748873,0.011044214763850486,357.0,121.06520705344346,0.02682588235174905,4.656730592536047e-06,0.0027941044892958794,0.006969873821608722,0.008981867056023917
Spatial climate TSN-MLP no tp (ERA5 global full),Neural,coarse_1_degree_cell_day,1.0,38905,3587444.0,15792.0,0.004402019933969701,0.051957559065139346,0.9429157741678915,0.1199234946739449,0.07692032165051847,0.2719731509625127,0.00020760076808732554,0.004400617771065914,0.03892104380626459,357.0,121.06520705344344,0.007666236515542265,1.3703011212306163e-05,0.004760415331839379,0.002083529482332561,0.020518150914273052
