region_display,model_name,period_start,period_end,window_days,observed_positive_locations,average_precision,weighted_brier_score,observed_peak_day_index,first_quarter_fire_fraction,middle_half_fire_fraction,centered_activity_score
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-10,2021-10-07,28,330,0.864,0.0753,1.0,0.8832,0.0952,0.1302
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-01,2021-08-28,28,2307,0.8633,0.1407,6.0,0.6132,0.3768,0.4111
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-04,2021-08-31,28,2441,0.8597,0.1265,3.0,0.8485,0.123,0.2317
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-30,2021-08-26,28,2590,0.8579,0.1461,8.0,0.4907,0.5014,0.5252
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-07,2021-10-04,28,295,0.8578,0.1271,4.0,0.898,0.0934,0.2392
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-31,2021-08-27,28,2443,0.8569,0.1442,7.0,0.4919,0.4995,0.4924
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-09,2021-10-06,28,346,0.8566,0.0784,2.0,0.8851,0.0929,0.1728
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-29,2021-08-25,28,2669,0.8563,0.1485,9.0,0.4588,0.5338,0.5745
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-09-05,2022-10-02,28,19,0.8553,0.0205,3.0,0.6,0.25,0.3822
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-09-07,2022-10-04,28,19,0.8539,0.0211,1.0,0.6,0.4,0.3159
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-09-06,2022-10-03,28,19,0.8539,0.0208,2.0,0.6,0.4,0.3641
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-06,2021-10-03,28,296,0.8537,0.1275,5.0,0.8034,0.1894,0.3178
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-28,2021-08-24,28,2686,0.8536,0.1515,10.0,0.4322,0.5637,0.625
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-02,2021-08-29,28,2683,0.8525,0.1313,5.0,0.704,0.2714,0.3472
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-12,2022-09-08,28,12,0.8516,0.0053,27.0,0.0833,0.0,0.1875
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-08,2021-10-05,28,364,0.8514,0.0813,3.0,0.8919,0.0923,0.2079
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-05,2021-10-02,28,300,0.851,0.1283,6.0,0.6196,0.3732,0.4291
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-27,2021-08-23,28,2714,0.8508,0.1532,11.0,0.4113,0.5853,0.6736
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-26,2021-08-22,28,2782,0.8508,0.1546,12.0,0.3377,0.6577,0.7379
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-04,2021-10-01,28,300,0.8507,0.1259,7.0,0.3577,0.6268,0.5657
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-03,2021-08-30,28,2486,0.8504,0.1286,4.0,0.7456,0.2308,0.3042
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-02,2021-09-29,28,306,0.8494,0.1253,9.0,0.126,0.8549,0.7391
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-14,2022-09-10,28,12,0.8493,0.0056,25.0,0.0833,0.0,0.2838
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-13,2022-09-09,28,12,0.8491,0.0056,26.0,0.0833,0.0,0.2356
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-03,2021-09-30,28,306,0.849,0.1268,8.0,0.1566,0.8209,0.6813
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-01,2021-09-28,28,313,0.8483,0.1266,10.0,0.0612,0.9212,0.8071
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-25,2021-08-21,28,2786,0.8483,0.1563,13.0,0.3079,0.6804,0.7904
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-24,2021-08-20,28,2785,0.846,0.1577,14.0,0.2766,0.7062,0.8187
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-01,2021-08-28,28,2840,0.8444,0.135,6.0,0.6017,0.3768,0.4213
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-23,2021-08-19,28,2785,0.8438,0.159,15.0,0.1947,0.7819,0.8423
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-11,2021-10-08,28,300,0.8424,0.0696,0.0,0.8569,0.1029,0.1137
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-30,2021-08-26,28,3138,0.8419,0.1402,8.0,0.4759,0.5037,0.5357
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-22,2021-08-18,28,2790,0.8415,0.1601,16.0,0.147,0.8192,0.8514
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-14,2021-08-10,28,2947,0.8411,0.1611,24.0,0.1298,0.4575,0.5091
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-29,2021-08-25,28,3224,0.8409,0.1423,9.0,0.4425,0.537,0.585
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-15,2021-08-11,28,2911,0.8407,0.1611,23.0,0.1105,0.4983,0.5552
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-21,2021-08-17,28,2808,0.8405,0.1603,17.0,0.1208,0.8349,0.8528
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-16,2021-08-12,28,2929,0.8399,0.162,22.0,0.112,0.5392,0.6076
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-17,2021-08-13,28,2895,0.8395,0.1625,21.0,0.0892,0.589,0.6583
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-31,2021-08-27,28,2983,0.839,0.1384,7.0,0.482,0.4965,0.5014
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-20,2021-08-16,28,2812,0.8389,0.1612,18.0,0.0922,0.7943,0.8127
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-31,2021-09-27,28,353,0.8387,0.1347,11.0,0.1132,0.8637,0.8198
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-28,2021-08-24,28,3237,0.8383,0.1445,10.0,0.4163,0.567,0.6351
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-18,2021-08-14,28,2862,0.8377,0.1625,20.0,0.0696,0.6935,0.7163
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-12,2023-09-08,28,513,0.8375,0.0604,1.0,0.7085,0.2862,0.2261
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-30,2021-09-26,28,354,0.8372,0.1305,12.0,0.0986,0.8762,0.8719
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-19,2021-08-15,28,2846,0.8371,0.1625,19.0,0.0642,0.7741,0.7705
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-13,2021-08-09,28,2870,0.8371,0.1612,25.0,0.1435,0.451,0.4758
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-26,2021-08-22,28,3288,0.837,0.1464,12.0,0.3272,0.6593,0.745
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-27,2021-08-23,28,3243,0.8362,0.1456,11.0,0.3966,0.5885,0.6825
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-12,2023-09-08,28,150,0.8355,0.0506,1.0,0.7185,0.2778,0.2359
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-25,2021-08-21,28,3289,0.8347,0.1473,13.0,0.2987,0.6806,0.7965
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-13,2023-09-09,28,507,0.8341,0.0576,0.0,0.6939,0.3014,0.1941
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-12,2021-08-08,28,2801,0.8341,0.1615,26.0,0.1363,0.3933,0.4287
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-13,2023-09-09,28,150,0.8341,0.0479,0.0,0.6948,0.3012,0.2054
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-11-01,2021-11-28,28,2,0.8333,0.0052,0.0,1.0,0.0,0.0111
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-24,2021-08-20,28,3270,0.8331,0.1475,14.0,0.2677,0.7077,0.8246
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-29,2021-09-25,28,365,0.8327,0.1331,13.0,0.1354,0.8406,0.894
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-08,2021-09-04,28,1712,0.8323,0.1107,0.0,0.8377,0.1214,0.1293
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-10-27,2022-11-23,28,30,0.8322,0.0359,1.0,0.9355,0.0645,0.0872
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-23,2021-08-19,28,3261,0.8309,0.1482,15.0,0.1892,0.7815,0.8467
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-27,2021-09-23,28,369,0.8296,0.1259,15.0,0.1549,0.8318,0.8941
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-25,2021-09-21,28,379,0.8296,0.1202,17.0,0.1741,0.8111,0.823
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-22,2021-08-18,28,3269,0.8288,0.1488,16.0,0.1428,0.8182,0.8547
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-02,2022-03-29,28,26,0.8285,0.0387,8.0,0.0345,0.6207,0.7239
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-26,2021-09-22,28,369,0.8284,0.1219,16.0,0.1538,0.8318,0.8664
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-28,2021-09-24,28,374,0.8283,0.1323,14.0,0.1611,0.8206,0.8967
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-14,2021-08-10,28,3555,0.828,0.1497,24.0,0.1435,0.4435,0.5081
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-21,2021-08-17,28,3290,0.8276,0.1489,17.0,0.1177,0.831,0.8551
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-15,2021-08-11,28,3540,0.8276,0.15,23.0,0.1256,0.4823,0.5538
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-24,2021-09-20,28,377,0.8273,0.1192,18.0,0.1241,0.8217,0.7895
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-16,2021-08-12,28,3545,0.8268,0.1511,22.0,0.1253,0.5254,0.6057
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-17,2021-08-13,28,3507,0.826,0.1516,21.0,0.1032,0.5778,0.657
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-23,2021-09-19,28,376,0.8259,0.1159,19.0,0.1232,0.7448,0.7273
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-20,2021-08-16,28,3313,0.8256,0.1498,18.0,0.0938,0.7887,0.8104
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-09,2021-09-05,28,1106,0.8242,0.1227,1.0,0.8896,0.0741,0.1292
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-18,2021-08-14,28,3467,0.824,0.1515,20.0,0.0835,0.6831,0.7153
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-19,2021-08-15,28,3375,0.8237,0.151,19.0,0.0708,0.7655,0.7681
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-22,2021-09-18,28,380,0.8236,0.1152,20.0,0.0894,0.6297,0.6664
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-13,2021-08-09,28,3465,0.8234,0.1486,25.0,0.1548,0.4392,0.4757
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-11,2023-09-07,28,529,0.8231,0.0633,2.0,0.7116,0.2707,0.2668
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-10,2023-09-06,28,555,0.8216,0.0666,3.0,0.7268,0.2366,0.2926
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-09-04,2022-10-01,28,19,0.8213,0.021,4.0,0.55,0.3,0.4479
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-09-03,2022-09-30,28,19,0.8206,0.0213,5.0,0.55,0.3,0.496
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-11,2021-08-07,28,2672,0.82,0.1636,27.0,0.1215,0.4138,0.4063
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-11,2023-09-07,28,162,0.8197,0.055,2.0,0.7333,0.2456,0.2683
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-09-02,2022-09-29,28,19,0.8195,0.0212,6.0,0.55,0.15,0.5142
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-12,2021-08-08,28,3620,0.8193,0.149,26.0,0.1671,0.3774,0.4352
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-16,2022-09-12,28,13,0.8188,0.006,23.0,0.0769,0.0,0.3721
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-21,2021-09-17,28,381,0.8187,0.1148,21.0,0.0793,0.4369,0.5901
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-15,2022-09-11,28,13,0.818,0.0061,24.0,0.0769,0.0,0.3239
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-20,2021-09-16,28,381,0.8149,0.1128,22.0,0.0812,0.2703,0.5093
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-13,2023-04-09,28,235,0.8146,0.0615,26.0,0.1757,0.3642,0.4123
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-19,2021-09-15,28,381,0.8127,0.1113,23.0,0.0813,0.2447,0.4563
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-04,2023-03-31,28,117,0.8121,0.0358,27.0,0.0577,0.4167,0.3998
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-18,2021-09-14,28,381,0.8115,0.1089,24.0,0.0469,0.2182,0.4081
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-07,2021-10-04,28,365,0.811,0.0835,4.0,0.8458,0.1408,0.2689
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-17,2021-09-13,28,372,0.811,0.1026,25.0,0.0419,0.2285,0.3708
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-09-08,2022-10-05,28,15,0.8098,0.0214,0.0,0.5625,0.4375,0.3184
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-09,2023-09-05,28,575,0.8088,0.07,4.0,0.7419,0.2097,0.3239
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-20,2022-09-16,28,13,0.8084,0.0075,19.0,0.0,0.8462,0.6959
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-21,2022-09-17,28,13,0.8083,0.0079,18.0,0.0,0.8462,0.744
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-19,2022-09-15,28,13,0.8083,0.0071,20.0,0.0,0.8462,0.6477
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-18,2022-09-14,28,13,0.8081,0.007,21.0,0.0,0.3077,0.4919
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-14,2023-04-10,28,253,0.808,0.0646,25.0,0.1717,0.3464,0.4434
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-06,2021-10-03,28,373,0.8077,0.0849,5.0,0.7612,0.2225,0.3422
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-22,2022-09-18,28,13,0.8058,0.0083,17.0,0.0,0.9231,0.8075
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-10,2023-09-06,28,173,0.8043,0.0601,3.0,0.7484,0.2,0.293
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-16,2021-09-12,28,370,0.8041,0.0968,26.0,0.0628,0.2287,0.3407
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-27,2022-09-23,28,16,0.8037,0.0132,12.0,0.0,0.7647,0.8676
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-23,2022-04-19,28,349,0.8033,0.067,27.0,0.0975,0.1186,0.2739
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-11,2021-08-07,28,3528,0.8033,0.1501,27.0,0.1543,0.4005,0.4162
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-05,2023-04-01,28,120,0.8021,0.0382,26.0,0.0562,0.4125,0.4423
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-05,2021-10-02,28,377,0.801,0.0867,6.0,0.5952,0.3842,0.4444
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-23,2022-09-19,28,14,0.8007,0.009,16.0,0.0,0.8571,0.8257
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-04,2021-10-01,28,391,0.8005,0.0867,7.0,0.3642,0.5974,0.5657
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-08,2023-09-04,28,617,0.8005,0.0733,5.0,0.7309,0.224,0.3654
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-12,2023-04-08,28,201,0.7986,0.0574,27.0,0.1723,0.3933,0.4031
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-24,2022-09-20,28,14,0.7983,0.0098,15.0,0.0,0.8571,0.8738
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-29,2022-09-25,28,16,0.7982,0.016,10.0,0.0,0.7647,0.8602
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-05,2022-09-01,28,42,0.798,0.0114,0.0,0.9867,0.0133,0.0293
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-28,2022-09-24,28,16,0.7979,0.0148,11.0,0.0,0.7647,0.8639
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-04-06,2023-05-03,28,133,0.7976,0.0877,27.0,0.058,0.1304,0.2453
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-03,2021-09-30,28,401,0.7975,0.0873,8.0,0.1884,0.7674,0.672
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-02,2021-09-29,28,406,0.7968,0.0873,9.0,0.1605,0.7975,0.7277
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-09-01,2021-09-28,28,420,0.7956,0.0882,10.0,0.098,0.8617,0.7936
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-24,2022-04-20,28,358,0.7952,0.0677,26.0,0.0811,0.1268,0.3055
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-09-01,2022-09-28,28,19,0.7949,0.0218,7.0,0.2,0.5,0.6848
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-31,2022-09-27,28,19,0.7949,0.0196,8.0,0.0,0.7,0.7919
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-30,2022-09-26,28,19,0.7947,0.0182,9.0,0.0,0.7,0.7956
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-01,2022-03-28,28,23,0.7945,0.0371,9.0,0.0,0.6154,0.7603
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-25,2022-09-21,28,14,0.7941,0.011,14.0,0.0,0.9286,0.9362
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-08-26,2022-09-22,28,14,0.794,0.0117,13.0,0.0,0.9286,0.9585
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-03,2023-03-30,28,93,0.7924,0.0331,27.0,0.0388,0.5039,0.4393
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-08-10,2021-09-06,28,946,0.7912,0.1193,0.0,0.8494,0.0934,0.1239
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-03,2022-03-30,28,29,0.7886,0.0441,7.0,0.0625,0.5938,0.6853
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2021-10-23,2021-11-19,28,114,0.7885,0.0354,2.0,0.8088,0.1544,0.2029
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-04-07,2023-05-04,28,134,0.7884,0.089,26.0,0.0574,0.1292,0.2924
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-25,2022-04-21,28,364,0.7882,0.0691,25.0,0.0676,0.2254,0.3632
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-07,2023-09-03,28,636,0.7875,0.0759,6.0,0.7252,0.2276,0.4049
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-10,2021-08-06,28,2419,0.7865,0.1663,23.0,0.0924,0.4624,0.5271
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-06,2021-08-02,28,2290,0.786,0.1655,27.0,0.1151,0.3463,0.4006
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-09,2021-08-05,28,2352,0.7856,0.165,24.0,0.0651,0.415,0.486
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-06-21,2021-07-18,28,1478,0.785,0.1628,17.0,0.0725,0.5399,0.7284
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-26,2022-04-22,28,369,0.7844,0.0703,24.0,0.0664,0.2656,0.4156
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-07,2021-08-03,28,2330,0.7842,0.1659,26.0,0.1141,0.3617,0.4362
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-06,2023-04-02,28,135,0.7839,0.0411,25.0,0.0452,0.4181,0.4691
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-02,2023-03-29,28,74,0.7824,0.0302,14.0,0.0185,0.6204,0.8182
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-27,2022-04-23,28,371,0.7824,0.0709,23.0,0.0661,0.3026,0.4705
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-15,2023-04-11,28,256,0.7817,0.0676,24.0,0.1622,0.3483,0.4853
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-04-08,2023-05-05,28,140,0.7813,0.0907,25.0,0.0459,0.1422,0.3341
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-07-08,2021-08-04,28,2352,0.7799,0.1663,25.0,0.1173,0.3564,0.4565
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2022-03-28,2022-04-24,28,372,0.7793,0.0717,22.0,0.0619,0.4411,0.5401
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2021-06-22,2021-07-19,28,1512,0.7787,0.1634,16.0,0.0879,0.5004,0.7542
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-07,2023-04-03,28,136,0.7779,0.0429,24.0,0.0497,0.4586,0.52
Eastern Siberia,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-09,2023-09-05,28,188,0.7767,0.066,4.0,0.7685,0.1573,0.3168
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-08-06,2023-09-02,28,656,0.7766,0.0784,7.0,0.3786,0.5712,0.5642
Global,Spatial climate TSN-MLP no tp (ERA5 global full),2023-03-01,2023-03-28,28,66,0.7758,0.0291,15.0,0.02,0.67,0.7966
